event,domain,frames,height,width,nonfinite_count,rain_volume_m3,roughness_effect_mae_mm,drainage_effect_mae_mm,drainage_signed_mean_mm,surface_final_volume_m3,matched_control_final_volume_m3,coupled_final_volume_m3,surface_runtime_s,matched_control_runtime_s,coupled_runtime_s,swmm_report_found,swmm_runoff_continuity_error_pct,swmm_flow_routing_continuity_error_pct,swmm_minimum_routing_step_s,swmm_average_routing_step_s,swmm_maximum_routing_step_s,swmm_average_iterations_per_step,swmm_steps_not_converging_pct,A_vs_C_mae_mm,A_vs_C_rmse_mm,A_vs_C_bias_mm,A_vs_C_csi_0p03,A_vs_C_csi_0p15,A_vs_C_peak_map_mae_mm,A_vs_C_global_peak_abs_error_mm,A_vs_C_final_volume_abs_error_m3,B_vs_C_mae_mm,B_vs_C_rmse_mm,B_vs_C_bias_mm,B_vs_C_csi_0p03,B_vs_C_csi_0p15,B_vs_C_peak_map_mae_mm,B_vs_C_global_peak_abs_error_mm,B_vs_C_final_volume_abs_error_m3,A_vs_MIKE_mae_mm,A_vs_MIKE_rmse_mm,A_vs_MIKE_bias_mm,A_vs_MIKE_csi_0p03,A_vs_MIKE_csi_0p15,A_vs_MIKE_peak_map_mae_mm,A_vs_MIKE_global_peak_abs_error_mm,A_vs_MIKE_final_volume_abs_error_m3,B_vs_MIKE_mae_mm,B_vs_MIKE_rmse_mm,B_vs_MIKE_bias_mm,B_vs_MIKE_csi_0p03,B_vs_MIKE_csi_0p15,B_vs_MIKE_peak_map_mae_mm,B_vs_MIKE_global_peak_abs_error_mm,B_vs_MIKE_final_volume_abs_error_m3,C_vs_MIKE_mae_mm,C_vs_MIKE_rmse_mm,C_vs_MIKE_bias_mm,C_vs_MIKE_csi_0p03,C_vs_MIKE_csi_0p15,C_vs_MIKE_peak_map_mae_mm,C_vs_MIKE_global_peak_abs_error_mm,C_vs_MIKE_final_volume_abs_error_m3,A_infiltration_m3,A_surface_exchange_m3,A_surface_mass_error_m3,A_surface_mass_error_pct_rain,B_infiltration_m3,B_surface_exchange_m3,B_surface_mass_error_m3,B_surface_mass_error_pct_rain,C_infiltration_m3,C_surface_exchange_m3,C_surface_mass_error_m3,C_surface_mass_error_pct_rain,external_inflow_m3,external_outflow_m3,flooding_loss_m3,initial_stored_m3,final_stored_m3,swmm_warning_count,swmm_error_count,swmm_recomputed_mass_error_m3,swmm_recomputed_mass_error_pct_inflow,swmm_flooding_loss_pct_rain,combined_mass_error_m3,combined_mass_error_pct_rain,accepted
event1,full,72,400,560,0,2079131.5593067554,0.16811470687389374,7.200066566467285,-5.9521803855896,1862616.3900803658,1862668.5947815287,1245568.598860283,299.9835696220398,310.5042543411255,3848.8435003757477,True,,-0.083,0.05,0.38,0.5,2.04,0.02,7.1710920333862305,35.55704116821289,5.951900959014893,0.8949944038882875,0.6318277956366788,14.734041213989258,4.981517791748047,617047.7912200822,7.200066566467285,35.67648696899414,5.952179908752441,0.8949593182256619,0.6296316202474497,14.731212615966797,5.687475204467773,617099.9959212418,14.475932121276855,44.284244537353516,5.62486457824707,0.6731720966980873,0.5141335540838852,25.662776947021484,749.185791015625,747772.9489256118,14.444921493530273,44.21110153198242,5.625144004821777,0.6733822588660369,0.5153312423472484,25.720645904541016,749.8917846679688,747825.1536267714,17.32832145690918,55.87653732299805,-0.3270358145236969,0.626033572769615,0.33483742561067925,33.498355865478516,744.2042846679688,130725.1577055296,216643.30416758382,0.0,-128.13494119420648,-0.006162906845439377,216591.17060327576,0.0,-128.2060780490283,-0.006166328315067087,216366.78117551716,617324.4668536405,-128.2875826852396,-0.006170248443923122,618750.0,603610.0,0.0,0.0,15660.0,0,0,-520.0,-0.08404040404040404,0.0,-2073.8207290447317,-0.09974456497289692,True
event20,full,72,400,560,0,1672821.4094340801,0.10066846013069153,3.321641206741333,-2.672626256942749,1457644.0547261308,1457687.5705317194,1103083.2308029418,299.2348895072937,310.54146242141724,3424.1716029644012,True,,-0.178,0.05,0.43,0.5,2.0,0.0,3.303715229034424,19.93613052368164,2.672234535217285,0.883394301494647,0.6926657475532016,8.87152099609375,7.932186126708984,354560.82392318896,3.321641206741333,20.103843688964844,2.672625780105591,0.8832788108591094,0.6902998956490177,8.871540069580078,8.329391479492188,354604.33972877776,13.460485458374023,42.646934509277344,13.076775550842285,0.3328251454965662,0.14684789511990468,24.35455322265625,1081.44873046875,1131435.4668634944,13.467604637145996,42.75033187866211,13.077168464660645,0.33285289056782896,0.1463313144389477,24.384119033813477,1081.8458251953125,1131478.9826690832,11.406949043273926,36.342735290527344,10.404541969299316,0.34786773995660425,0.16652544454268592,18.85443115234375,1073.5164794921875,776874.6429403054,215252.95923004203,0.0,-75.60452209273353,-0.004519581209706704,215209.63248080222,0.0,-75.79357844148763,-0.0045308828553987,215018.28906270908,354791.3411941054,-71.45162567612715,-0.004271324199533017,354620.00000000006,338250.0,0.0,0.0,17010.0,0,0,-639.9999999999418,-0.18047487451354738,0.0,-540.1104315707926,-0.03228739353315148,True
event65,full,72,400,560,0,2165791.8511433527,0.16976796090602875,7.695992469787598,-6.402800559997559,1922667.4697900417,1922675.4512015388,1362190.1329108102,300.2851276397705,312.9723401069641,4303.066854000092,True,,-0.111,0.05,0.34,0.5,2.01,0.0,7.665221691131592,36.2543830871582,6.402719020843506,0.8960174315825357,0.6244382552576404,13.71262264251709,9.850025177001953,560477.3368792315,7.6959919929504395,36.39392852783203,6.4028000831604,0.8962788365673319,0.6223158303968767,13.723603248596191,10.715961456298828,560485.3182907286,19.00934410095215,50.285194396972656,9.444937705993652,0.5685726401303383,0.41014862478181385,24.279016494750977,1277.5048828125,1177624.1028962075,18.9604434967041,50.210391998291016,9.445018768310547,0.5691231072846394,0.41197812146100177,24.350088119506836,1278.370849609375,1177632.0843077046,20.33259391784668,57.1290397644043,3.042219400405884,0.5350651805991193,0.2636423995207369,29.25201416015625,1267.6549072265625,617146.766016976,243127.95010672332,0.0,-3.568753412226215,-0.0001647782269723759,243120.1110522032,0.0,-3.7111103893257678,-0.000171351202903761,243058.18999845837,560542.887716418,0.6405176662374288,2.9574294773493136e-05,560290.0,540170.0,0.0,0.0,20750.0,0,0,-630.0,-0.1124417712256153,0.0,-376.4717659158632,-0.017382638396996386,True
event66,full,72,400,560,0,2305464.891552925,0.18119442462921143,8.430887222290039,-7.0861592292785645,2061343.6692209195,2061350.3922647869,1442524.224113583,300.2834153175354,311.7335705757141,4001.310927629471,True,,-0.101,0.05,0.34,0.5,2.01,0.0,8.399117469787598,38.31496810913086,7.086094856262207,0.8996852854168459,0.6193689918842717,15.084305763244629,10.057926177978516,618819.4451073364,8.430886268615723,38.45692825317383,7.0861592292785645,0.8998404734466291,0.6172547927401012,15.093841552734375,10.914802551269531,618826.1681512038,18.976455688476562,50.00651550292969,9.352331161499023,0.629270290141227,0.41481262081436676,24.020898818969727,1329.071044921875,1238482.4509760342,18.92639923095703,49.93096923828125,9.352395057678223,0.6297107338144433,0.4166239400820039,24.104833602905273,1329.927978515625,1238489.1740199015,20.76191520690918,57.31996536254883,2.2662363052368164,0.591156030562484,0.26985055502165767,29.928531646728516,1319.0130615234375,619663.0058686977,244124.27362684102,0.0,-3.051294835517183,-0.00013235052273825252,244117.59013165397,0.0,-3.0908435157034546,-0.00013406595463796072,244058.1379252334,618881.9375007016,0.5920134070329368,2.5678699736527578e-05,618610.0,596720.0,0.0,0.0,22510.0,0,0,-620.0,-0.10022469730524887,0.0,-347.47048589144833,-0.015071601704478686,True
event67,full,72,400,560,0,2670296.6259289533,0.25466498732566833,12.63111686706543,-10.927658081054688,2422459.4233574057,2422462.282209962,1499255.3198106063,246.29244828224182,247.85360074043274,3728.8287467956543,True,,-0.066,0.05,0.36,0.5,2.28,0.01,12.59522533416748,52.611839294433594,10.927643775939941,0.8846031600636118,0.6217215176467473,22.06624412536621,1.1267662048339844,923204.1035467994,12.63111686706543,52.7618408203125,10.927659034729004,0.8845356294222089,0.620360629912935,22.0767765045166,1.6584396362304688,923206.9623993558,21.40828514099121,60.75294494628906,4.147613048553467,0.7183882264069782,0.5723523747666566,33.264957427978516,401.68048095703125,811059.4457474907,21.355527877807617,60.586612701416016,4.147629737854004,0.7186854416503303,0.573424906075115,33.40473175048828,402.212158203125,811062.3046000472,27.50710105895996,81.70097351074219,-6.780029773712158,0.6579210126442294,0.3681502285819718,46.49458694458008,400.5537109375,112144.65779930865,247838.4911262553,0.0,-1.2885547075420618,-4.82551149947169e-05,247835.51332904352,0.0,-1.169610052369535,-4.380075385679845e-05,247748.18573747046,923293.040073485,0.08030739123933017,3.0074333487723493e-06,925639.9999999999,908910.0,0.0,0.0,17340.0,0,0,-610.0000000001164,-0.06590035002810125,0.0,-2956.879619123647,-0.11073225312918171,True
event68,full,72,400,560,0,2552117.2711439426,0.23585915565490723,11.913520812988281,-10.10129165649414,2304882.800617961,2304886.810986713,1448200.6791682236,204.39778518676758,205.01706075668335,4486.672295093536,True,,-0.06,0.05,0.35,0.5,2.07,0.04,11.877735137939453,49.91475296020508,10.101266860961914,0.8843515513755038,0.626998444182973,20.485885620117188,2.3353099822998047,856682.1214497376,11.913520812988281,50.05827331542969,10.10129165649414,0.8842592644282353,0.6255457330561885,20.495500564575195,3.1342506408691406,856686.1318184894,18.491464614868164,51.339149475097656,6.525634765625,0.7252888939810325,0.5667691659799091,26.89797019958496,975.524658203125,940948.118447386,18.43962287902832,51.23543167114258,6.52565860748291,0.7256046880685941,0.567833056101618,27.025157928466797,976.3236083984375,940952.1288161378,24.02326774597168,68.96289825439453,-3.575631856918335,0.6630559068295232,0.3634196049862185,38.92174530029297,973.1893310546875,84265.99699764838,247236.43450687086,0.0,-1.9639808894135058,-7.695496251757997e-05,247232.47799703796,0.0,-2.0178398084826767,-7.906532475203284e-05,247142.75892084587,856772.7298590228,1.103195850038901,4.3226691128672646e-05,858720.0,842350.0,0.0,0.0,16890.0,0,0,-520.0,-0.060555245015837526,0.0,-2466.166945127072,-0.09663219527610716,True
event69,full,72,400,560,0,2421835.279771127,0.22379955649375916,10.911508560180664,-9.419600486755371,2175578.7094194856,2175582.9065051666,1380076.9851031739,244.9465925693512,247.10049319267273,3541.1578164100647,True,,-0.068,0.05,0.38,0.5,2.1,0.01,10.878212928771973,47.20936965942383,9.419574737548828,0.8856777608016407,0.6342063876119042,18.906452178955078,2.272367477416992,795501.7243163118,10.91150951385498,47.340023040771484,9.419600486755371,0.8855943776667409,0.63276641732022,18.90993309020996,2.9659271240234375,795505.9214019927,19.62334632873535,55.28181076049805,6.699215888977051,0.6694105009099168,0.5365078912697929,29.17351722717285,770.6484985351562,899438.084843643,19.573623657226562,55.1595344543457,6.699243545532227,0.6697090408423948,0.5374226216685228,29.28994369506836,771.342041015625,899442.2819293239,23.947734832763672,70.95369720458984,-2.7203569412231445,0.618744243125528,0.35894152735965507,39.28401565551758,768.3760986328125,103936.36052733124,246259.5617497102,0.0,-2.99139806907624,-0.00012351781700689979,246255.4364310414,0.0,-3.0631650811992586,-0.00012648114868855738,246149.6843282382,795606.936348233,1.673991482006386,6.912078191232662e-05,797520.0,782880.0,0.0,0.0,15180.0,0,0,-540.0,-0.06770990069214565,0.0,-2451.3896602850873,-0.10122032991924841,True
event70,full,72,400,560,0,2578020.6962898374,0.24022315442562103,12.02267074584961,-10.318780899047852,2330638.8447174793,2330642.7524804105,1460853.7290347114,245.07740235328674,246.54191660881042,3206.5240824222565,True,,-0.063,0.05,0.35,0.5,2.1,0.01,11.988043785095215,50.436824798583984,10.318756103515625,0.8846975961484883,0.6279466340113287,20.768632888793945,2.681255340576172,869785.1156827679,12.02267074584961,50.579551696777344,10.318779945373535,0.8846285505297501,0.6265384126071012,20.77828025817871,3.3080577850341797,869789.0234456991,19.067779541015625,53.28693389892578,5.949686050415039,0.7241456864629826,0.5658708411139173,28.25013542175293,848.7432250976562,909901.0448590058,19.015239715576172,53.15947341918945,5.949710369110107,0.7245183093881435,0.566815095644295,28.380998611450195,849.3699951171875,909904.952621937,24.759675979614258,71.78526306152344,-4.369070053100586,0.6625563682654757,0.36452973407604256,40.63136672973633,846.0619506835938,40115.9291762379,247382.94829065673,0.0,-1.0967182987369597,-4.25410975294071e-05,247379.13248048295,0.0,-1.1886710561811924,-4.6107894241961294e-05,247285.1227998474,869859.6520158339,22.19243944482878,0.0008608324780622228,871850.0,856350.0,0.0,0.0,16060.000000000002,0,0,-560.0000000000018,-0.06423123243677259,0.0,-2528.1555447212904,-0.09806575829122277,True
