case,baseline,infiltration_mmh,inlet_manning,building_rainfall_mode,drainage_effect_mae_mm,drainage_signed_mean_mm,final_surface_reduction_m3,B_vs_MIKE_mae_mm,C_vs_MIKE_mae_mm,B_final_volume_m3,C_final_volume_m3,routing_continuity_error_pct,nonconverging_steps_pct,array_shape,finite
baseline,True,1.0,0.012,global_redistribute,11.913520812988281,-10.10129165649414,856686.1318184894,18.43962287902832,24.023265838623047,2304886.810986713,1448200.6791682236,-0.06,0.04,72x400x560,True
loss_0mmh,False,0.0,0.012,global_redistribute,12.993054389953613,-10.955432891845703,950269.7510904414,19.30561637878418,24.423498153686523,2552119.494827282,1601849.7437368408,-0.053,0.02,72x400x560,True
loss_2mmh,False,2.0,0.012,global_redistribute,10.874249458312988,-9.321298599243164,773714.2179214722,18.07708740234375,23.795791625976562,2097730.7711803797,1324016.5532589075,-0.067,0.02,72x400x560,True
building_nearest,False,1.0,0.012,nearest_redistribute,7.7993950843811035,-6.504688262939453,556868.0860160443,32.951148986816406,35.079586029052734,2178449.08141406,1621580.995398016,-0.097,0.0,72x400x560,True
building_exclude,False,1.0,0.012,exclude,3.464934825897217,-2.9757542610168457,252344.6302399966,24.93120574951172,27.254905700683594,985882.0546270707,733537.4243870741,-0.16,0.0,72x400x560,True
inlet_manning_0p015,False,1.0,0.015,global_redistribute,11.894063949584961,-10.0958833694458,854512.241782621,18.491464614868164,24.053531646728516,2304882.800617961,1450370.5588353402,-0.06,0.02,72x400x560,True
