event,model,condition,n_cell_times,proportion_active_pct,mae_mm,rmse_mm,bias_mm,residual_mae_mm,csi_0p03,csi_0p15
event1,surface_matched,all_active,7597944,100.0,7.200066566467285,35.67648696899414,5.952179908752441,7.200066566467285,0.8949593182256619,0.6296337701146955
event1,surface_matched,target_wet_0p03m,1291340,16.995913631371856,31.371585845947266,73.90265655517578,25.471155166625977,31.371585845947266,0.9771740982235507,0.6737561078852684
event1,surface_matched,target_wet_0p15m,304579,4.008702880674035,38.14386749267578,89.59262084960938,28.070396423339844,38.14386749267578,1.0,0.9615600550267747
event1,surface_matched,wet_either_0p03m,1409968,18.557230745580647,37.4095573425293,82.7625961303711,32.00556182861328,37.4095573425293,0.8949593182256619,0.6296337701146955
event1,surface_matched,effect_abs_over_1mm,1570071,20.66441921656701,34.52512741088867,78.48108673095703,28.840312957763672,34.52512741088867,0.8741663630050809,0.598011947945103
event1,surface_matched,net_drainage_over_1mm,963819,12.685260644195324,51.61147689819336,99.65213012695312,51.61147689819336,51.61147689819336,0.849543660992157,0.4997521596403665
event1,surface_matched,positive_residual_over_1mm,606252,7.979158572371683,7.361265182495117,12.795480728149414,-7.361265182495117,7.361265182495117,0.9246465101892094,0.8923472008217771
event1,surface_matched,effect_abs_over_5mm,896049,11.793308821439062,58.67995071411133,103.86078643798828,50.68492889404297,58.67995071411133,0.8334814316805228,0.5098206438025951
event1,surface_matched,net_drainage_over_5mm,654260,8.61101371634221,74.89093017578125,120.93705749511719,74.89093017578125,74.89093017578125,0.8127297698946144,0.429648331571035
event1,surface_matched,positive_residual_over_5mm,241789,3.1822951050968524,14.814416885375977,19.996339797973633,-14.814416885375977,14.814416885375977,0.8944170388316453,0.8440925517717096
event1,surface_matched,effect_abs_over_10mm,661920,8.71183046360963,76.9307632446289,120.76466369628906,68.65802764892578,76.9307632446289,0.8090957357714199,0.4561867346455788
event1,surface_matched,net_drainage_over_10mm,539221,7.096933065050229,89.35865020751953,133.17257690429688,89.35865020751953,89.35865020751953,0.7906633535464653,0.396278614954705
event1,surface_matched,positive_residual_over_10mm,122699,1.6148973985593997,22.314329147338867,27.152494430541992,-22.314329147338867,22.314329147338867,0.8907780114148393,0.7971270218301097
event1,surface_matched,near_inlet_0_20m,163872,2.1567939958494033,28.259952545166016,84.58262634277344,28.211591720581055,28.259952545166016,0.41989214089096116,0.07338444687842278
event1,surface_matched,near_inlet_20_60m,1650312,21.72050754783136,14.632615089416504,54.52964782714844,13.900825500488281,14.632615089416504,0.8280937930718292,0.42189591370758206
event1,surface_matched,near_inlet_60_100m,1296936,17.06956513498915,8.89285659790039,40.776397705078125,7.742227554321289,8.89285659790039,0.8946796738971247,0.5699588980770172
event1,surface_matched,near_inlet_100_infm,4486824,59.05313332133009,3.207801342010498,17.882211685180664,1.6981650590896606,3.207801342010498,0.9466759366986799,0.7898406210340678
event1,surface_matched,near_pipe_0_20m,589536,7.759151686298293,20.489347457885742,69.79441833496094,20.015642166137695,20.489347457885742,0.6954002850001169,0.26848457387650865
event1,surface_matched,near_pipe_20_60m,1712232,22.53546485733509,12.280056953430176,48.161399841308594,11.416481018066406,12.280056953430176,0.8501937621551537,0.47574416170009315
event1,surface_matched,near_pipe_60_100m,1041552,13.708340045675515,7.925264358520508,38.33140563964844,6.666468143463135,7.925264358520508,0.9055140354932326,0.6065972168475148
event1,surface_matched,near_pipe_100_infm,4254624,55.997043410691106,3.136730670928955,17.46022605895996,1.6295804977416992,3.136730670928955,0.9478255227518191,0.7930309480355648
event1,prior_only,all_active,7597944,100.0,2.49819016456604,9.8872709274292,-1.0816142559051514,2.49819016456604,0.886074684499662,0.8941266949499789
