event,model,reference,active_cells,n_cell_times,mae_mm,rmse_mm,bias_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_bias_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,target_peak_p99p9_mm,final_volume_bias_m3,final_volume_abs_error_m3,residual_mae_mm,seed,mean_abs_volume_error_m3,max_abs_volume_error_m3,mean_abs_area_error_0p03_m2,mean_abs_area_error_0p15_m2,global_peak_time_error_min,clip_mm,feature_seconds,assembly_seconds,model_seconds,postprocess_seconds,total_correction_seconds,raw_below_clip_count,raw_above_clip_count,depth_clamped_count,active_value_count,depth_clamped_pct
event1,hybrid_all_clip_500mm,coupled_label,105527,7597944,2.2622084617614746,10.10004711151123,-0.6573936939239502,0.9155162041333903,0.881540887100363,3.216338872909546,1.4286041259765625,1.4286041259765625,40.9527473449707,987.0272874832153,17108.142804539762,17108.142804539762,2.2622084617614746,1907,30011.10357053303,85975.86036179075,207055.55555555556,98972.22222222222,5.0,500.0,2.6304586017504334,1.7138169996906072,19.655743099632673,0.28616570052690804,24.289154199999757,4891,0,172796,7597944,2.274246822561472
event1,hybrid_all_clip_1200mm,coupled_label,105527,7597944,2.246175527572632,9.256928443908691,-0.69915771484375,0.9155576698241512,0.8817502491395531,3.1811296939849854,1.4286041259765625,1.4286041259765625,43.712310791015625,987.0272874832153,12570.22982709948,12570.22982709948,2.246175527572632,1907,31038.89209409662,88490.56974056968,207144.44444444444,103922.22222222222,5.0,1200.0,2.648292299709283,1.7002456993795931,19.81104040076025,0.28036649932619184,24.442522099940106,52,0,173127,7597944,2.278603264251487
event1,hybrid_all,coupled_label,105527,7597944,2.245790958404541,9.2376070022583,-0.6995418667793274,0.9155576698241512,0.8817502491395531,3.1807332038879395,1.4286041259765625,1.4286041259765625,43.712310791015625,987.0272874832153,12553.560529881157,12553.560529881157,2.245790958404541,1907,31051.91913235626,88547.9343951107,207144.44444444444,103922.22222222222,5.0,none,2.5987980999052525,1.6786990007385612,19.660207399982028,0.2341092003043741,24.174440799979493,0,0,173127,7597944,2.278603264251487
event20,hybrid_all_clip_500mm,coupled_label,105527,7597944,2.1220619678497314,8.886688232421875,-0.6583971381187439,0.8684379444782537,0.8448705060079468,3.4491500854492188,0.1068115234375,0.1068115234375,24.84589195251465,814.2159581184387,-32906.80800189404,32906.80800189404,2.1220619678497314,1907,28014.6163925886,84003.05468142754,374838.8888888889,57166.666666666664,0.0,500.0,2.422513500903733,1.576089400681667,18.637512999470346,0.26057520031463355,22.899265099898912,1894,0,198664,7597944,2.614707347145491
event20,hybrid_all_clip_1200mm,coupled_label,105527,7597944,2.120814561843872,8.570206642150879,-0.6833832859992981,0.8684220911276115,0.8396320759801427,3.468477964401245,0.1068115234375,0.1068115234375,23.894929885864258,814.2159581184387,-36401.48454864649,36401.48454864649,2.120814561843872,1907,29068.55514540868,85121.45123184449,375655.55555555556,63133.333333333336,0.0,1200.0,2.3534161006100476,1.490768101066351,18.15951650030911,0.2529868009733036,22.25903300009668,18,0,198782,7597944,2.6162603988657986
event20,hybrid_all,coupled_label,105527,7597944,2.1207780838012695,8.569108963012695,-0.6834193468093872,0.8684220911276115,0.8396320759801427,3.468477964401245,0.1068115234375,0.1068115234375,23.894929885864258,814.2159581184387,-36406.948792535346,36406.948792535346,2.1207780838012695,1907,29070.08010872136,85121.45123184449,375655.55555555556,63133.333333333336,0.0,none,2.403827398782596,1.556012699380517,18.518625600729138,0.22507299901917577,22.706020300043747,0,0,198782,7597944,2.6162603988657986
event65,hybrid_all_clip_500mm,coupled_label,105527,7597944,2.248056650161743,10.072482109069824,0.16898946464061737,0.9314080416259446,0.8965327445927912,3.4842264652252197,6.897211074829102,6.897211074829102,52.48371124267578,958.4585428237915,-28604.698411936406,28604.698411936406,2.248056650161743,1907,16241.434437450655,38216.701336552855,278772.22222222225,64927.77777777778,0.0,500.0,2.3574906996218488,1.515531599870883,18.437194600352086,0.2537117993924767,22.566345499944873,4952,0,146616,7597944,1.9296799239373177
event65,hybrid_all_clip_1200mm,coupled_label,105527,7597944,2.217963218688965,9.073491096496582,0.12172666192054749,0.9314620636321084,0.8986080617707279,3.4505774974823,6.897211074829102,6.897211074829102,51.83126449584961,958.4585428237915,-32235.058485160116,32235.058485160116,2.217963218688965,1907,16420.273044968184,38505.99169970909,277322.22222222225,70827.77777777778,0.0,1200.0,2.3346415997948498,1.5295020996127278,18.278546600602567,0.2511862999526784,22.39614100009203,4,0,146876,7597944,1.933101902304097
event65,hybrid_all,coupled_label,105527,7597944,2.217952013015747,9.073199272155762,0.12171538174152374,0.9314620636321084,0.8986080617707279,3.4505774974823,6.897211074829102,6.897211074829102,51.83126449584961,958.4585428237915,-32235.058485160116,32235.058485160116,2.217952013015747,1907,16419.796636963423,38505.99169970909,277322.22222222225,70827.77777777778,0.0,none,2.35878590028733,1.5256269994424656,18.6284596985206,0.22399320057593286,22.739324600086547,0,0,146876,7597944,1.933101902304097
event66,hybrid_all_clip_500mm,coupled_label,105527,7597944,2.323129177093506,10.101561546325684,0.22939430177211761,0.9343473974132641,0.8964707976019665,3.6355385780334473,5.382061004638672,5.382061004638672,37.503265380859375,971.0116386413574,-58502.016285853926,58502.016285853926,2.323129177093506,1907,26884.25257655015,61840.19214773737,300405.55555555556,69033.33333333333,0.0,500.0,2.3047742013586685,1.4691345983883366,17.614690499962308,0.2441148990765214,21.634990200051107,6875,0,135367,7597944,1.781626713753089
event66,hybrid_all_clip_1200mm,coupled_label,105527,7597944,2.2931582927703857,8.908479690551758,0.15838158130645752,0.9342776510504022,0.8979516140277487,3.596727132797241,5.382061004638672,5.382061004638672,32.31858825683594,971.0116386413574,-63422.96132207895,63422.96132207895,2.2931582927703857,1907,26543.451853047038,66540.43963106535,298883.3333333333,77144.44444444444,0.0,1200.0,2.2875454004388303,1.478387299226597,17.577250199741684,0.24048669904004782,21.5859119000379,87,0,135811,7597944,1.7874703998871273
