event,model,reference,active_cells,n_cell_times,mae_mm,rmse_mm,bias_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_bias_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,target_peak_p99p9_mm,final_volume_bias_m3,final_volume_abs_error_m3,residual_mae_mm,seed,mean_abs_volume_error_m3,max_abs_volume_error_m3,mean_abs_area_error_0p03_m2,mean_abs_area_error_0p15_m2,global_peak_time_error_min,clip_mm,feature_seconds,assembly_seconds,model_seconds,postprocess_seconds,total_correction_seconds,raw_below_clip_count,raw_above_clip_count,depth_clamped_count,active_value_count,depth_clamped_pct
event66,hybrid_all,coupled_label,105527,7597944,2.292654037475586,8.888381004333496,0.15787702798843384,0.9342776510504022,0.8979516140277487,3.596727132797241,5.382061004638672,5.382061004638672,32.31858825683594,971.0116386413574,-63440.76735139871,63440.76735139871,2.292654037475586,1907,26538.825405794938,66564.74793108366,298883.3333333333,77144.44444444444,0.0,none,2.2847096995683387,1.468994099763222,17.476122599677183,0.2097009994322434,21.44180609995965,0,0,135811,7597944,1.7874703998871273
event67,hybrid_all_clip_500mm,coupled_label,105527,7597944,2.6119368076324463,13.4188232421875,0.5948310494422913,0.9398546784637437,0.9222056819703378,5.429576396942139,-9.660720825195312,9.660720825195312,80.62251281738281,1139.8162841796875,64518.96873438428,64518.96873438428,2.6119368076324463,1907,27981.52302541991,72194.5669990012,362377.77777777775,22655.555555555555,0.0,500.0,2.310574700240977,1.5114117001648992,17.96118209999986,0.24399540096055716,22.029427799978293,8893,0,91644,7597944,1.2061684055581352
event67,hybrid_all_clip_1200mm,coupled_label,105527,7597944,2.5601279735565186,12.137628555297852,0.4980495572090149,0.9396539037191768,0.9246432544913079,5.258108139038086,-9.660720825195312,9.660720825195312,86.70330047607422,1139.8162841796875,49500.63247259869,49500.63247259869,2.5601279735565186,1907,24168.984787589423,56850.55305552459,354988.8888888889,15750.0,0.0,1200.0,2.2824626001529396,1.488742999616079,17.880618700175546,0.24228769913315773,21.896299800020643,79,0,92300,7597944,1.2148023202066243
event67,hybrid_all,coupled_label,105527,7597944,2.559483528137207,12.107062339782715,0.4973733425140381,0.9396539037191768,0.9246412783356026,5.257658004760742,-9.660720825195312,9.660720825195312,86.70330047607422,1139.8162841796875,49482.84399088635,49482.84399088635,2.559483528137207,1907,24153.385910070054,56802.64370036102,354988.8888888889,15755.555555555555,0.0,none,2.2792625011643395,1.469165399321355,17.685817199759185,0.21302180050406605,21.64955099998042,0,0,92300,7597944,1.2148023202066243
event68,hybrid_all_clip_500mm,coupled_label,105527,7597944,2.0874459743499756,10.735042572021484,-0.09840754419565201,0.9474566511125441,0.9326656268986727,3.265828847885132,-2.3183822631835938,2.3183822631835938,57.07585144042969,1125.7414817810059,23866.0605386314,23866.0605386314,2.0874459743499756,1907,10659.481443736106,24467.391295506153,180411.11111111112,61688.88888888889,0.0,500.0,2.2831573004368693,1.501876899972558,17.87919530097861,0.24445939995348454,21.91106219997164,9376,0,119204,7597944,1.568898112436733
event68,hybrid_all_clip_1200mm,coupled_label,105527,7597944,2.047645330429077,9.583806037902832,-0.19097670912742615,0.9471562157623208,0.9345512411143333,3.1167075634002686,-2.3183822631835938,2.3183822631835938,63.92429733276367,1125.7414817810059,8357.256437274162,8357.256437274162,2.047645330429077,1907,9806.58352783814,26635.608098803554,170544.44444444444,66011.11111111111,0.0,1200.0,2.309403301565908,1.4865892998641357,17.77789089991711,0.24069830076768994,21.81678950006608,0,0,120239,7597944,1.5825202186275655
event68,hybrid_all,coupled_label,105527,7597944,2.047645330429077,9.583806037902832,-0.19097670912742615,0.9471562157623208,0.9345512411143333,3.1167075634002686,-2.3183822631835938,2.3183822631835938,63.92429733276367,1125.7414817810059,8357.256437274162,8357.256437274162,2.047645330429077,1907,9806.58352783814,26635.608098803554,170544.44444444444,66011.11111111111,0.0,none,2.306949399644509,1.4684090999653563,17.794020899687894,0.214828900876455,21.78661949990783,0,0,120239,7597944,1.5825202186275655
event69,hybrid_all_clip_500mm,coupled_label,105527,7597944,1.9705076217651367,10.235697746276855,0.07313831895589828,0.9450883673672263,0.9313324432817238,3.0213146209716797,-2.942800521850586,2.942800521850586,52.06131362915039,1106.3729524612427,23036.426387966378,23036.426387966378,1.9705076217651367,1907,11164.22787576063,28668.982335952343,232644.44444444444,56977.77777777778,0.0,500.0,2.2610978996381164,1.4830299009336159,17.494758900720626,0.24451539991423488,21.485634699929506,4550,0,156255,7597944,2.056543191158029
event69,hybrid_all_clip_1200mm,coupled_label,105527,7597944,1.937269687652588,8.771588325500488,0.008581101894378662,0.9447409903589703,0.9320116060699656,2.9347686767578125,-2.942800521850586,2.942800521850586,51.46164321899414,1106.3729524612427,10587.007978710113,10587.007978710113,1.937269687652588,1907,9226.362758484996,26007.4214070295,224805.55555555556,60616.666666666664,0.0,1200.0,2.2737480002688244,1.5086717997910455,17.730172100127675,0.24381739948876202,21.758659799932502,102,0,157168,7597944,2.068559599807527
event69,hybrid_all,coupled_label,105527,7597944,1.936173915863037,8.704445838928223,0.0073836129158735275,0.9447403803216605,0.932007097107275,2.9337360858917236,-2.942800521850586,2.942800521850586,51.46164321899414,1106.3729524612427,10542.661383899627,10542.661383899627,1.936173915863037,1907,9213.165696273885,26103.338357732166,224800.0,60627.77777777778,0.0,none,2.2805041995598003,1.4835004013730213,17.520497000194155,0.21508160117082298,21.501940799993463,0,0,157170,7597944,2.0685859227180408
event70,hybrid_all_clip_500mm,coupled_label,105527,7597944,2.0579028129577637,10.801764488220215,0.07546408474445343,0.9485663533259131,0.9354754505904288,3.4908013343811035,-5.119562149047852,5.119562149047852,65.2090835571289,1134.0513229370117,24258.00809197547,24258.00809197547,2.0579028129577637,1907,7914.779149421193,31503.294130152557,238783.33333333334,45611.11111111111,0.0,500.0,2.1571924001909792,1.4575633988715708,18.225137900561094,0.2274934994056821,22.069850800093263,8733,0,86360,7597944,1.136623275980976
event70,hybrid_all_clip_1200mm,coupled_label,105527,7597944,2.013495922088623,9.278675079345703,-0.02962634526193142,0.9481383917998663,0.9374957138314918,3.347480058670044,-5.119562149047852,5.119562149047852,74.87891387939453,1134.0513229370117,7905.1975987707265,7905.1975987707265,2.013495922088623,1907,6009.180773692596,16727.458845485235,226855.55555555556,53516.666666666664,0.0,1200.0,2.2962347995489836,1.5359414003323764,18.220945997862145,0.25956309912726283,22.315174699993804,98,0,87716,7597944,1.1544702093092551
event70,hybrid_all,coupled_label,105527,7597944,2.0126914978027344,9.229939460754395,-0.0305026825517416,0.9481377982410478,0.9374936356891848,3.3469078540802,-5.119562149047852,5.119562149047852,74.87891387939453,1134.0513229370117,7881.348945931066,7881.348945931066,2.0126914978027344,1907,6024.577981441983,16810.790495980764,226850.0,53522.22222222222,0.0,none,2.2470470999833196,1.4585927014704794,18.50068010087125,0.20154779823496938,22.41042790003121,0,0,87717,7597944,1.1544833707645121
