event,model,reference,active_cells,n_cell_times,mae_mm,rmse_mm,bias_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_bias_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,target_peak_p99p9_mm,final_volume_bias_m3,final_volume_abs_error_m3,residual_mae_mm,seed,mean_abs_volume_error_m3,max_abs_volume_error_m3,mean_abs_area_error_0p03_m2,mean_abs_area_error_0p15_m2,global_peak_time_error_min,control,replicate,aligned_hybrid_all_mae_mm,delta_mae_vs_aligned_mm,feature_seconds,assembly_seconds,model_seconds,postprocess_seconds,total_correction_seconds,raw_below_clip_count,raw_above_clip_count,depth_clamped_count,active_value_count,depth_clamped_pct
event1,zero_static_network_fields,coupled_label,105527,7597944,2.3484926223754883,9.977960586547852,-0.29687076807022095,0.9131908717418793,0.8827434260443883,3.363400459289551,1.4286041259765625,1.4286041259765625,41.290733337402344,987.0272874832153,44811.60815438791,44811.60815438791,2.3484926223754883,1907,23346.847692356114,67705.09273054567,206533.33333333334,93105.55555555556,5.0,zero_static_network_fields,0,2.245790958404541,0.10270166397094727,2.633752599474974,1.7018271988490596,19.76243840076495,0.24300799996126443,24.343640699982643,0,0,165697,7597944,2.1808136516931422
event1,shift_20m_north,coupled_label,105527,7597944,2.2816548347473145,9.558548927307129,-0.6651701927185059,0.9126758156434128,0.8811093321789726,3.2361645698547363,1.4286041259765625,1.4286041259765625,44.1686897277832,987.0272874832153,14633.37957760971,14633.37957760971,2.2816548347473145,1907,29983.67756773367,86419.34772426868,203038.88888888888,104100.0,5.0,shift_20m_north,0,2.245790958404541,0.03586387634277344,2.558783801854588,1.6186158993514255,19.470968700246885,0.23372510029003024,23.88455780001823,0,0,171238,7597944,2.2537412752713104
event1,shift_20m_south,coupled_label,105527,7597944,2.2751407623291016,9.331446647644043,-0.6659150123596191,0.9126752965757262,0.881204539305098,3.2077219486236572,1.4286041259765625,1.4286041259765625,43.08155059814453,987.0272874832153,14612.293958216207,14612.293958216207,2.2751405239105225,1907,30017.768210007758,86388.77359054936,203650.0,104250.0,5.0,shift_20m_south,0,2.245790958404541,0.029349803924560547,2.614870100049302,1.6567585000302643,19.852195101091638,0.2382850997382775,24.36464170005638,0,0,171862,7597944,2.2619540233515805
event1,shift_20m_west,coupled_label,105527,7597944,2.2818262577056885,9.675809860229492,-0.6630873084068298,0.9126474126931163,0.8808969660692624,3.232618570327759,1.4286041259765625,1.4286041259765625,44.035003662109375,987.0272874832153,14893.854439215036,14893.854439215036,2.2818262577056885,1907,29937.86302584173,86452.79690673389,204844.44444444444,105422.22222222222,5.0,shift_20m_west,0,2.245790958404541,0.03603529930114746,2.6118328012526035,1.7061608989024535,19.70826660026796,0.23375270096585155,24.2625300999498,0,0,171970,7597944,2.2633754605193195
event1,shift_20m_east,coupled_label,105527,7597944,2.2828993797302246,9.697546005249023,-0.6649673581123352,0.9127359857349827,0.8814339464084494,3.2263453006744385,1.4286041259765625,1.4286041259765625,43.7847900390625,987.0272874832153,14580.555204114644,14580.555204114644,2.2828993797302246,1907,29973.249425385045,86519.09780893964,201938.88888888888,103766.66666666667,5.0,shift_20m_east,0,2.245790958404541,0.037108421325683594,2.548315899912268,1.6309424992650747,19.569715800578706,0.23412609926890582,23.9855464999564,0,0,171474,7597944,2.2568473787119254
event1,shift_40m_north,coupled_label,105527,7597944,2.29433012008667,9.74706745147705,-0.6550158262252808,0.9122164527044336,0.8805241014085942,3.2558059692382812,1.4286041259765625,1.4286041259765625,43.56772232055664,987.0272874832153,15409.033171636751,15409.033171636751,2.29433012008667,1907,29687.04394846718,85931.19477054244,204316.66666666666,104716.66666666667,5.0,shift_40m_north,0,2.245790958404541,0.048539161682128906,2.5779081996297464,1.6555042003747076,19.69066899921745,0.233122801175341,24.159748899983242,0,0,171389,7597944,2.2557286550150937
event1,shift_40m_south,coupled_label,105527,7597944,2.288515329360962,9.448136329650879,-0.6467128396034241,0.9121757420651979,0.880933359221076,3.2244651317596436,1.4286041259765625,1.4286041259765625,43.33118438720703,987.0272874832153,15972.879218365531,15972.879218365531,2.288515090942383,1907,29440.193262166213,85283.61789754592,202361.11111111112,104488.88888888889,5.0,shift_40m_south,0,2.245790958404541,0.0427243709564209,2.6285842017969117,1.6704150986624882,19.974344900576398,0.24090960016474128,24.51682359992992,0,0,171486,7597944,2.2570053161750074
event1,shift_40m_west,coupled_label,105527,7597944,2.288815975189209,9.690104484558105,-0.6475934386253357,0.9123184639600843,0.8805421424046906,3.2382779121398926,1.4286041259765625,1.4286041259765625,43.24563980102539,987.0272874832153,16048.735949263908,16048.735949263908,2.288815975189209,1907,29484.559354774232,85529.37669058377,201772.22222222222,105250.0,5.0,shift_40m_west,0,2.245790958404541,0.04302501678466797,2.629852199461311,1.6786568999523297,19.881863799877465,0.2474332997808233,24.440429899957962,0,0,171900,7597944,2.2624541586513405
event1,shift_40m_east,coupled_label,105527,7597944,2.2926785945892334,9.733028411865234,-0.6509023904800415,0.9126124072846379,0.8809075287978108,3.228883743286133,1.4286041259765625,1.4286041259765625,42.946807861328125,987.0272874832153,15440.944306434598,15440.944306434598,2.2926785945892334,1907,29542.038002030316,85646.55936651165,200872.22222222222,103466.66666666667,5.0,shift_40m_east,0,2.245790958404541,0.04688763618469238,2.5917954001342878,1.642876799334772,19.655291300150566,0.23892389971297234,24.131480799987912,0,0,171300,7597944,2.2545572854972344
event1,shift_80m_north,coupled_label,105527,7597944,2.319157600402832,9.813478469848633,-0.6140254735946655,0.9111715542587214,0.8800034369291674,3.2856478691101074,1.4286041259765625,1.4286041259765625,42.732540130615234,987.0272874832153,18777.01105438848,18777.01105438848,2.319157600402832,1907,28577.116107495476,83847.87625623657,204772.22222222222,105361.11111111111,5.0,shift_80m_north,0,2.245790958404541,0.07336664199829102,2.584856500150636,1.7516594988992438,19.637430400471203,0.23774309956934303,24.21433370001614,0,0,171055,7597944,2.251332728959308
