seed,fold,test_event,model,fit_seconds,fitted_rows,max_iter_fixed
1907,0,event1,dynamic_no_prior,1.865354900015518,226800,140
1907,0,event1,hybrid_dynamic,1.725499700056389,226800,140
1907,0,event1,hybrid_mask,2.3391210000263527,226800,140
1907,0,event1,hybrid_hydraulic,1.9341480999719352,226800,140
1907,0,event1,hybrid_all,2.484797600074671,226800,140
1907,1,event20,dynamic_no_prior,1.3694336999906227,226800,140
1907,1,event20,hybrid_dynamic,1.4618454999290407,226800,140
1907,1,event20,hybrid_mask,1.6618765000021085,226800,140
1907,1,event20,hybrid_hydraulic,1.6087460999842733,226800,140
1907,1,event20,hybrid_all,1.866102800006047,226800,140
1907,2,event65,dynamic_no_prior,1.3980935000581667,226800,140
1907,2,event65,hybrid_dynamic,1.4581815999699757,226800,140
1907,2,event65,hybrid_mask,1.7608467999380082,226800,140
1907,2,event65,hybrid_hydraulic,1.5832484998973086,226800,140
1907,2,event65,hybrid_all,1.847031900077127,226800,140
1907,3,event66,dynamic_no_prior,1.3369104000739753,226800,140
1907,3,event66,hybrid_dynamic,1.358668899978511,226800,140
1907,3,event66,hybrid_mask,1.8460744000039995,226800,140
1907,3,event66,hybrid_hydraulic,1.549900299985893,226800,140
1907,3,event66,hybrid_all,1.7922719999914989,226800,140
1907,4,event67,dynamic_no_prior,1.3383893000427634,226800,140
1907,4,event67,hybrid_dynamic,1.5607537999749184,226800,140
1907,4,event67,hybrid_mask,1.659929999965243,226800,140
1907,4,event67,hybrid_hydraulic,1.5302756000310183,226800,140
1907,4,event67,hybrid_all,1.8030276999343187,226800,140
1907,5,event68,dynamic_no_prior,1.3599066000897437,226800,140
1907,5,event68,hybrid_dynamic,1.3740841000108048,226800,140
1907,5,event68,hybrid_mask,1.6951683000661433,226800,140
1907,5,event68,hybrid_hydraulic,1.527742899954319,226800,140
1907,5,event68,hybrid_all,1.761216500075534,226800,140
1907,6,event69,dynamic_no_prior,1.1460933999624103,226800,140
1907,6,event69,hybrid_dynamic,1.3742798999883235,226800,140
1907,6,event69,hybrid_mask,1.6652027999516577,226800,140
1907,6,event69,hybrid_hydraulic,1.4712375999661162,226800,140
1907,6,event69,hybrid_all,1.8307838001055643,226800,140
1907,7,event70,dynamic_no_prior,1.3720117001794279,226800,140
1907,7,event70,hybrid_dynamic,1.4036006999667734,226800,140
1907,7,event70,hybrid_mask,1.8137158998288214,226800,140
1907,7,event70,hybrid_hydraulic,1.5352429999038577,226800,140
1907,7,event70,hybrid_all,2.0483405999839306,226800,140
2718,0,event1,hybrid_dynamic,1.3912864997982979,226800,140
2718,0,event1,hybrid_all,1.8172262001316994,226800,140
2718,1,event20,hybrid_dynamic,1.3442293999250978,226800,140
2718,1,event20,hybrid_all,1.8727369999978691,226800,140
