seed,fold,test_event,model,fit_seconds,fitted_rows,max_iter_fixed
2718,2,event65,hybrid_dynamic,1.3465573999565095,226800,140
2718,2,event65,hybrid_all,1.709589600097388,226800,140
2718,3,event66,hybrid_dynamic,1.345388599904254,226800,140
2718,3,event66,hybrid_all,1.7577191998716444,226800,140
2718,4,event67,hybrid_dynamic,1.3757746000774205,226800,140
2718,4,event67,hybrid_all,1.7991229998879135,226800,140
2718,5,event68,hybrid_dynamic,1.4470283999107778,226800,140
2718,5,event68,hybrid_all,1.9244718998670578,226800,140
2718,6,event69,hybrid_dynamic,1.5707302999217063,226800,140
2718,6,event69,hybrid_all,1.9279006000142545,226800,140
2718,7,event70,hybrid_dynamic,1.6082890001125634,226800,140
2718,7,event70,hybrid_all,1.64806369994767,226800,140
3141,0,event1,hybrid_dynamic,1.3914377999026328,226800,140
3141,0,event1,hybrid_all,1.7858316998463124,226800,140
3141,1,event20,hybrid_dynamic,1.3085141000337899,226800,140
3141,1,event20,hybrid_all,2.365465300157666,226800,140
3141,2,event65,hybrid_dynamic,1.3395269999746233,226800,140
3141,2,event65,hybrid_all,1.7954779001884162,226800,140
3141,3,event66,hybrid_dynamic,1.3422399999108166,226800,140
3141,3,event66,hybrid_all,1.715580000076443,226800,140
3141,4,event67,hybrid_dynamic,1.3776859999634326,226800,140
3141,4,event67,hybrid_all,1.75146279996261,226800,140
3141,5,event68,hybrid_dynamic,1.3362275001127273,226800,140
3141,5,event68,hybrid_all,1.79534550011158,226800,140
3141,6,event69,hybrid_dynamic,1.4494249999988824,226800,140
3141,6,event69,hybrid_all,1.702902700053528,226800,140
3141,7,event70,hybrid_dynamic,1.251327499980107,226800,140
3141,7,event70,hybrid_all,1.7224952999968082,226800,140
5772,0,event1,hybrid_dynamic,1.2439548999536783,226800,140
5772,0,event1,hybrid_all,1.680794200161472,226800,140
5772,1,event20,hybrid_dynamic,1.2634926000609994,226800,140
5772,1,event20,hybrid_all,1.7628901998978108,226800,140
5772,2,event65,hybrid_dynamic,1.311324599897489,226800,140
5772,2,event65,hybrid_all,1.687546200118959,226800,140
5772,3,event66,hybrid_dynamic,1.459731200011447,226800,140
5772,3,event66,hybrid_all,1.7611672000493854,226800,140
5772,4,event67,hybrid_dynamic,1.361344699980691,226800,140
5772,4,event67,hybrid_all,1.7667258000001311,226800,140
5772,5,event68,hybrid_dynamic,1.328122999984771,226800,140
5772,5,event68,hybrid_all,1.7626958000473678,226800,140
5772,6,event69,hybrid_dynamic,1.4282293000724167,226800,140
5772,6,event69,hybrid_all,1.8234174998942763,226800,140
5772,7,event70,hybrid_dynamic,1.4021697998978198,226800,140
5772,7,event70,hybrid_all,1.7014717001002282,226800,140
8119,0,event1,hybrid_dynamic,1.314332899870351,226800,140
8119,0,event1,hybrid_all,1.7047906001098454,226800,140
8119,1,event20,hybrid_dynamic,1.4282804001122713,226800,140
8119,1,event20,hybrid_all,1.8229214001912624,226800,140
8119,2,event65,hybrid_dynamic,1.3320915000513196,226800,140
8119,2,event65,hybrid_all,1.977453300030902,226800,140
8119,3,event66,hybrid_dynamic,1.6221660000737756,226800,140
8119,3,event66,hybrid_all,2.072908600093797,226800,140
8119,4,event67,hybrid_dynamic,1.3404922999907285,226800,140
8119,4,event67,hybrid_all,1.640941800083965,226800,140
8119,5,event68,hybrid_dynamic,1.3460031000431627,226800,140
8119,5,event68,hybrid_all,1.6400222999509424,226800,140
8119,6,event69,hybrid_dynamic,1.2254140998702496,226800,140
8119,6,event69,hybrid_all,1.6644575002137572,226800,140
8119,7,event70,hybrid_dynamic,1.4252160000614822,226800,140
8119,7,event70,hybrid_all,1.7937561001162976,226800,140
