event,model,reference,active_cells,n_cell_times,mae_mm,rmse_mm,bias_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_bias_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,target_peak_p99p9_mm,final_volume_bias_m3,final_volume_abs_error_m3,residual_mae_mm,seed,mean_abs_volume_error_m3,max_abs_volume_error_m3,mean_abs_area_error_0p03_m2,mean_abs_area_error_0p15_m2,global_peak_time_error_min
event1,surface_matched,coupled_label,105527,7597944,7.200066566467285,35.67648696899414,5.9521803855896,0.8949593182256619,0.6296337701146955,14.731212615966797,5.687475204467773,5.687475204467773,108.82159423828125,987.0272874832153,617099.9959212418,617099.9959212418,7.200066566467285,1907,251246.2771034014,617099.9959212418,495288.8888888889,826988.8888888889,10.0
event1,surface_matched,mike_external,105527,7597944,14.44492244720459,44.21110153198242,5.625144004821777,0.6733822588660369,0.5153302949130667,25.720645904541016,749.8917579650879,749.8917579650879,349.96533203125,1185.8177185058594,747825.1536267714,747825.1536267714,14.44492244720459,1907,258995.07069832634,747825.1536267714,1803288.888888889,601450.0,120.0
event1,prior_only,coupled_label,105527,7597944,2.49819016456604,9.8872709274292,-1.0816141366958618,0.886074684499662,0.8941266949499789,3.1944949626922607,-0.2503395080566406,0.2503395080566406,37.041133880615234,987.0272874832153,-38153.56997288903,38153.56997288903,2.498190402984619,1907,45664.735692262584,107323.6764919362,545194.4444444445,57777.77777777778,0.0
event1,prior_only,mike_external,105527,7597944,17.8265438079834,57.47618103027344,-1.4086501598358154,0.5817339422159384,0.32510179355274393,33.5762825012207,743.9539432525635,743.9539432525635,610.57421875,1185.8177185058594,92571.58773264056,92571.58773264056,17.8265438079834,1907,148511.35904082487,410764.4481617769,1119638.888888889,481294.44444444444,130.0
event1,dynamic_no_prior,coupled_label,105527,7597944,4.214704990386963,17.205461502075195,-0.1092337891459465,0.9019987954122043,0.7323672157636171,7.436233997344971,-9.23919677734375,9.23919677734375,93.33784484863281,987.0272874832153,79903.60563141177,79903.60563141177,4.214704990386963,1907,27589.54434516007,79903.60563141177,336127.77777777775,146550.0,55.0
event1,dynamic_no_prior,mike_external,105527,7597944,16.324739456176758,52.85713195800781,-0.43626946210861206,0.665131223383154,0.33696609876400885,31.837753295898438,734.9650859832764,734.9650859832764,627.03125,1185.8177185058594,210628.76333694137,210628.76333694137,16.324739456176758,1907,153115.62851599394,381047.1560330454,1651283.3333333333,560533.3333333334,75.0
event1,hybrid_dynamic,coupled_label,105527,7597944,2.3074538707733154,9.576993942260742,-0.668440043926239,0.9072234791455033,0.8818491515170811,3.1807429790496826,-1.7786026000976562,1.7786026000976562,40.789817810058594,987.0272874832153,23261.51458404935,23261.51458404935,2.3074538707733154,1907,31418.099080942364,90717.54933684669,226566.66666666666,103722.22222222222,10.0
event1,hybrid_dynamic,mike_external,105527,7597944,17.657241821289062,57.434627532958984,-0.9954757690429688,0.6224161014171513,0.3100448257099065,33.39601516723633,742.4256801605225,742.4256801605225,605.8506469726562,1185.8177185058594,153986.67228957894,153986.67228957894,17.657241821289062,1907,152128.8691924393,396980.16072833,1326644.4444444445,526750.0,120.0
event1,hybrid_mask,coupled_label,105527,7597944,2.2324814796447754,9.218221664428711,-0.6953921914100647,0.915996451362796,0.881946455910953,3.1801156997680664,2.604961395263672,2.604961395263672,43.829471588134766,987.0272874832153,12288.872337221168,12288.872337221168,2.2324814796447754,1907,30744.697449894375,86411.3880722574,208494.44444444444,102761.11111111111,5.0
event1,hybrid_mask,mike_external,105527,7597944,17.650638580322266,57.43038558959961,-1.0224276781082153,0.6238827943729955,0.31015366098134983,33.534358978271484,746.8092441558838,746.8092441558838,613.1084594726562,1185.8177185058594,143014.03004275076,143014.03004275076,17.650638580322266,1907,151056.7268286564,392673.99946374074,1311027.7777777778,525844.4444444445,125.0
event1,hybrid_hydraulic,coupled_label,105527,7597944,2.272002935409546,9.400166511535645,-0.6793385148048401,0.9124198079926962,0.8806565370439919,3.2056615352630615,-2.883434295654297,2.883434295654297,39.27494812011719,987.0272874832153,16900.26416152576,16900.26416152576,2.272002935409546,1907,30933.343400283185,86849.28438913124,212288.88888888888,104783.33333333333,10.0
event1,hybrid_hydraulic,mike_external,105527,7597944,17.656145095825195,57.49494934082031,-1.0063743591308594,0.6245086746964517,0.3098760288568302,33.4969367980957,741.3208484649658,741.3208484649658,611.4136962890625,1185.8177185058594,147625.42186705535,147625.42186705535,17.656145095825195,1907,151675.9566198063,393111.8957806146,1321666.6666666667,528011.1111111111,120.0
event1,hybrid_all,coupled_label,105527,7597944,2.245790958404541,9.2376070022583,-0.6995418667793274,0.9155576698241512,0.8817502491395531,3.1807332038879395,1.4286041259765625,1.4286041259765625,43.712310791015625,987.0272874832153,12553.560529881157,12553.560529881157,2.245790958404541,1907,31051.91913235626,88547.9343951107,207144.44444444444,103922.22222222222,5.0
event1,hybrid_all,mike_external,105527,7597944,17.659597396850586,57.51324462890625,-1.0265778303146362,0.6235793074438832,0.3099935420088339,33.53205490112305,745.6328868865967,745.6328868865967,608.8478393554688,1185.8177185058594,143278.71823541075,143278.71823541075,17.659597396850586,1907,151301.27908497126,394810.54578659404,1305055.5555555555,526994.4444444445,125.0
event20,surface_matched,coupled_label,105527,7597944,3.321641206741333,20.10384178161621,2.672626256942749,0.8832780881201381,0.6902998956490177,8.871540069580078,8.329391479492188,8.329391479492188,57.560604095458984,814.2159581184387,354604.33972877776,354604.33972877776,3.321641206741333,1907,112813.6837465064,354604.33972877776,575061.1111111111,321972.22222222225,0.0
event20,surface_matched,mike_external,105527,7597944,13.467605590820312,42.75033187866211,13.077166557312012,0.33285261626828955,0.1463313144389477,24.384119033813477,1081.8458795547485,1081.8458795547485,306.3416442871094,403.5188853740692,1131478.9826690832,1131478.9826690832,13.467605590820312,1907,551997.6769451307,1131478.9826690832,4376366.666666667,1014300.0,55.0
event20,prior_only,coupled_label,105527,7597944,3.3645923137664795,12.901728630065918,-1.8416961431503296,0.7619607532279942,0.8279411851510805,5.033178806304932,2.856731414794922,2.856731414794922,31.67301368713379,814.2159581184387,-131091.44896636507,131091.44896636507,3.3645923137664795,1907,77774.71969956212,159990.07353752106,1098461.111111111,68983.33333333333,0.0
event20,prior_only,mike_external,105527,7597944,11.000677108764648,37.31529235839844,8.562845230102539,0.3234423214786647,0.15613559406744718,19.580991744995117,1076.3732194900513,1076.3732194900513,310.857666015625,403.5188853740692,645783.1939739403,645783.1939739403,11.000677108764648,1907,361444.5323484736,645783.1939739403,2703533.3333333335,664955.5555555555,55.0
event20,dynamic_no_prior,coupled_label,105527,7597944,2.5938961505889893,11.926347732543945,0.3626951277256012,0.8837147611750943,0.7149868270732788,5.6432952880859375,-9.636878967285156,9.636878967285156,72.97282409667969,814.2159581184387,38633.183506124886,38633.183506124886,2.5938961505889893,1907,22014.37673320058,49414.650297437445,491511.1111111111,114144.44444444444,0.0
event20,dynamic_no_prior,mike_external,105527,7597944,11.578265190124512,35.83899688720703,10.76723575592041,0.3349843617476851,0.17127388491046827,18.373872756958008,1063.8796091079712,1063.8796091079712,267.64520263671875,403.5188853740692,815507.8264464303,815507.8264464303,11.578265190124512,1907,454493.6452194697,815507.8264464303,4292816.666666667,579138.8888888889,55.0
event20,hybrid_dynamic,coupled_label,105527,7597944,2.2269885540008545,9.12326717376709,-0.742972195148468,0.8554062755912677,0.8367780463869408,3.5664968490600586,-4.393100738525391,4.393100738525391,25.15752410888672,814.2159581184387,-44022.202882720856,44022.202882720856,2.2269885540008545,1907,31571.911236274205,91249.41746849148,430588.8888888889,64672.22222222222,0.0
event20,hybrid_dynamic,mike_external,105527,7597944,11.006126403808594,36.3357048034668,9.661568641662598,0.3602732980425951,0.15677081681205393,18.782764434814453,1069.123387336731,1069.123387336731,295.16778564453125,403.5188853740692,732852.4400575846,732852.4400575846,11.006126403808594,1907,407822.54455071065,732852.4400575846,3371172.222222222,649833.3333333334,55.0
event20,hybrid_mask,coupled_label,105527,7597944,2.1278631687164307,8.641314506530762,-0.6733081340789795,0.8672740704260035,0.8388417613380894,3.467869281768799,-4.511594772338867,4.511594772338867,25.017044067382812,814.2159581184387,-39090.13009372167,39090.13009372167,2.1278631687164307,1907,28940.958053803417,85692.9056169889,374305.55555555556,64344.444444444445,0.0
event20,hybrid_mask,mike_external,105527,7597944,11.08138370513916,36.430442810058594,9.731232643127441,0.35474191699538116,0.15603476185337303,18.919017791748047,1069.0048933029175,1069.0048933029175,296.70501708984375,403.5188853740692,737784.5128465837,737784.5128465837,11.08138370513916,1907,410763.1159275167,737784.5128465837,3427577.777777778,648572.2222222222,55.0
event20,hybrid_hydraulic,coupled_label,105527,7597944,2.130767345428467,8.699200630187988,-0.6830892562866211,0.867344720905163,0.838805666319407,3.4758358001708984,-0.6985664367675781,0.6985664367675781,25.045745849609375,814.2159581184387,-37599.31580539676,37599.31580539676,2.130767345428467,1907,29229.446211100105,86212.65435865824,375150.0,64094.444444444445,0.0
event20,hybrid_hydraulic,mike_external,105527,7597944,11.068899154663086,36.442535400390625,9.721451759338379,0.3553956295213464,0.1569651709753902,18.89999771118164,1072.8179216384888,1072.8179216384888,297.5369873046875,403.5188853740692,739275.3271349086,739275.3271349086,11.068899154663086,1907,410350.25063011993,739275.3271349086,3426666.6666666665,650755.5555555555,55.0
event20,hybrid_all,coupled_label,105527,7597944,2.1207780838012695,8.569108963012695,-0.6834193468093872,0.8684220911276115,0.8396320759801427,3.468477964401245,0.1068115234375,0.1068115234375,23.894929885864258,814.2159581184387,-36406.948792535346,36406.948792535346,2.1207780838012695,1907,29070.08010872136,85121.45123184449,375655.55555555556,63133.333333333336,0.0
event20,hybrid_all,mike_external,105527,7597944,11.071148872375488,36.4328498840332,9.721121788024902,0.3540964114854933,0.15710456103882936,18.906494140625,1073.6232995986938,1073.6232995986938,298.0809631347656,403.5188853740692,740467.6941477701,740467.6941477701,11.071148872375488,1907,410336.31605634006,740467.6941477701,3426261.111111111,651205.5555555555,55.0
event65,surface_matched,coupled_label,105527,7597944,7.695992469787598,36.39392852783203,6.402800559997559,0.8962788365673319,0.6223158303968767,13.723603248596191,10.715961456298828,10.715961456298828,117.107421875,958.4585428237915,560485.3182907286,560485.3182907286,7.695992469787598,1907,270267.30581327155,560485.3182907286,630177.7777777778,878183.3333333334,0.0
event65,surface_matched,mike_external,105527,7597944,18.9604434967041,50.210391998291016,9.445019721984863,0.5691231072846394,0.41197812146100177,24.350088119506836,1278.3708572387695,1278.3708572387695,303.2693176269531,1043.1150197982788,1177632.0843077046,1177632.0843077046,18.9604434967041,1907,458412.8806878633,1177632.0843077046,3354155.5555555555,1003411.1111111111,240.0
event65,prior_only,coupled_label,105527,7597944,2.7016446590423584,11.461181640625,-0.5592882037162781,0.9020886981049724,0.893264583440252,3.566301107406616,5.584239959716797,5.584239959716797,56.4791374206543,958.4585428237915,-73883.47817538306,73883.47817538306,2.7016446590423584,1907,49455.80626189418,89514.28044964699,596955.5555555555,52511.11111111111,0.0
event65,prior_only,mike_external,105527,7597944,20.301605224609375,56.771907806396484,2.482931137084961,0.5083649888885098,0.2742908540886281,27.958152770996094,1273.2391357421875,1273.2391357421875,502.44189453125,1043.1150197982788,543263.2878415929,543263.2878415929,20.301605224609375,1907,212364.63711895075,543263.2878415929,2241100.0,524538.8888888889,240.0
event65,dynamic_no_prior,coupled_label,105527,7597944,4.892030715942383,18.457666397094727,0.7461045384407043,0.9006977510954425,0.713209584460443,7.292126178741455,-17.57049560546875,17.57049560546875,92.2010726928711,958.4585428237915,1492.0248966389336,1492.0248966389336,4.892030715942383,1907,33127.622716646045,85371.43421873264,476877.77777777775,115583.33333333333,0.0
event65,dynamic_no_prior,mike_external,105527,7597944,18.98757553100586,52.08060073852539,3.7883238792419434,0.5672914653421273,0.2952731440008393,26.847810745239258,1250.084400177002,1250.084400177002,550.40185546875,1043.1150197982788,618638.7909136149,618638.7909136149,18.98757553100586,1907,274996.2884641248,618745.8124584183,3206955.5555555555,521277.77777777775,240.0
event65,hybrid_dynamic,coupled_label,105527,7597944,2.299100875854492,9.370774269104004,0.11372135579586029,0.9251260310617682,0.8979962164814512,3.5283892154693604,6.784200668334961,6.784200668334961,47.61933517456055,958.4585428237915,-35726.940959985135,35726.940959985135,2.299100875854492,1907,16327.193239094431,43080.26728965528,318188.8888888889,76561.11111111111,0.0
event65,hybrid_dynamic,mike_external,105527,7597944,20.086200714111328,56.07191467285156,3.1559410095214844,0.5530365560216306,0.2590944788978687,28.178354263305664,1274.4390964508057,1274.4390964508057,558.4956665039062,1043.1150197982788,581419.8250569908,581419.8250569908,20.086200714111328,1907,256326.75392366113,590193.7570240961,3050244.4444444445,558466.6666666666,240.0
event65,hybrid_mask,coupled_label,105527,7597944,2.208615779876709,9.069533348083496,0.12228351086378098,0.9321599894530888,0.8989353827934173,3.457552194595337,6.490945816040039,6.490945816040039,52.03196716308594,958.4585428237915,-32148.696525742533,32148.696525742533,2.208615779876709,1907,16424.16159777341,38220.51847407664,264183.3333333333,73122.22222222222,0.0
event65,hybrid_mask,mike_external,105527,7597944,20.04939079284668,55.91481399536133,3.1645028591156006,0.5516771256612417,0.26087772596218967,28.134502410888672,1274.1458415985107,1274.1458415985107,562.3258056640625,1043.1150197982788,584998.0694912334,584998.0694912334,20.04939079284668,1907,255559.503462656,586810.3310936762,2997772.222222222,555361.1111111111,240.0
event65,hybrid_hydraulic,coupled_label,105527,7597944,2.2252097129821777,9.07929801940918,0.13770721852779388,0.9289788487486892,0.8985919139859191,3.4489498138427734,8.951902389526367,8.951902389526367,49.505775451660156,958.4585428237915,-34242.9509349165,34242.9509349165,2.2252097129821777,1907,16343.86068738484,39066.79120192211,315444.44444444444,73688.88888888889,0.0
event65,hybrid_hydraulic,mike_external,105527,7597944,20.043865203857422,55.94105529785156,3.1799261569976807,0.5533367345556665,0.26118663679177745,28.137325286865234,1276.606798171997,1276.606798171997,564.2674560546875,1043.1150197982788,582903.8150820595,582903.8150820595,20.043865203857422,1907,256624.8679838468,589823.2064207208,3044877.777777778,556816.6666666666,240.0
event65,hybrid_all,coupled_label,105527,7597944,2.217952013015747,9.073199272155762,0.12171538174152374,0.9314620636321084,0.8986080617707279,3.4505774974823,6.897211074829102,6.897211074829102,51.83126449584961,958.4585428237915,-32235.058485160116,32235.058485160116,2.217952013015747,1907,16419.796636963423,38505.99169970909,277322.22222222225,70827.77777777778,0.0
event65,hybrid_all,mike_external,105527,7597944,20.052867889404297,55.953285217285156,3.1639349460601807,0.5515316052525098,0.2608194240734362,28.168373107910156,1274.5521068572998,1274.5521068572998,566.2320556640625,1043.1150197982788,584911.7075318159,584911.7075318159,20.052867889404297,1907,255723.9201736471,588850.6941340053,3009544.4444444445,557733.3333333334,240.0
event66,surface_matched,coupled_label,105527,7597944,8.430887222290039,38.45692825317383,7.0861592292785645,0.8998404734466291,0.6172547927401012,15.093841552734375,10.914802551269531,10.914802551269531,112.45706176757812,971.0116386413574,618826.1681512038,618826.1681512038,8.430887222290039,1907,299112.450954739,618826.1681512038,626516.6666666666,997905.5555555555,0.0
event66,surface_matched,mike_external,105527,7597944,18.926401138305664,49.93096923828125,9.352395057678223,0.6297107338144433,0.4166239400820039,24.104833602905273,1329.927921295166,1329.927921295166,291.13836669921875,994.0578937530518,1238489.1740199015,1238489.1740199015,18.926401138305664,1907,473158.6395255648,1238489.1740199015,2873744.4444444445,1155150.0,265.0
event66,prior_only,coupled_label,105527,7597944,2.5373194217681885,11.021522521972656,-0.132404625415802,0.9206986657532227,0.8961981174483388,3.8525607585906982,5.811452865600586,5.811452865600586,49.91886520385742,971.0116386413574,-42855.83714583982,42855.83714583982,2.5373194217681885,1907,43196.75969051942,82900.59817567887,455850.0,64838.88888888889,0.0
event66,prior_only,mike_external,105527,7597944,20.72028350830078,56.497745513916016,2.13383150100708,0.565174401307508,0.28422612538688047,28.319604873657227,1324.824571609497,1324.824571609497,467.71343994140625,994.0578937530518,576807.1687228578,576807.1687228578,20.72028350830078,1907,225264.66218202005,576807.1687228578,1940100.0,600605.5555555555,265.0
event66,dynamic_no_prior,coupled_label,105527,7597944,5.193994045257568,18.897769927978516,0.7137967348098755,0.9046500433560587,0.718757764611558,7.72937536239624,-27.07815170288086,27.07815170288086,74.5185546875,971.0116386413574,19052.72080432484,19052.72080432484,5.193994045257568,1907,32940.213865755686,82105.16635732702,457405.55555555556,113550.0,0.0
event66,dynamic_no_prior,mike_external,105527,7597944,19.042980194091797,51.82973098754883,2.9800326824188232,0.6268918688286104,0.3039071623647114,27.258371353149414,1291.9349670410156,1291.9349670410156,534.0237426757812,994.0578937530518,638715.7266730225,638715.7266730225,19.042980194091797,1907,280578.62126178644,638715.7266730225,2716066.6666666665,647950.0,265.0
event66,hybrid_dynamic,coupled_label,105527,7597944,2.3666467666625977,9.22507381439209,0.20995940268039703,0.9300448939502043,0.8985512506596012,3.7231600284576416,5.585908889770508,5.585908889770508,32.85272979736328,971.0116386413574,-68432.91075797728,68432.91075797728,2.3666467666625977,1907,25997.059527107696,70599.81314145797,327422.22222222225,82966.66666666667,0.0
event66,hybrid_dynamic,mike_external,105527,7597944,20.337337493896484,56.15628433227539,2.4761953353881836,0.611798450112342,0.26749270493698796,28.486318588256836,1324.599027633667,1324.599027633667,520.8294067382812,994.0578937530518,551230.0951107204,551230.0951107204,20.337337493896484,1907,259574.41615190718,589116.22721466,2520694.4444444445,633144.4444444445,265.0
event66,hybrid_mask,coupled_label,105527,7597944,2.293199062347412,8.919523239135742,0.18056941032409668,0.933657883633295,0.8994930429420808,3.6048920154571533,5.5713653564453125,5.5713653564453125,33.99478530883789,971.0116386413574,-62141.42043151776,62141.42043151776,2.293199062347412,1907,28294.022636642363,65478.0063147482,281311.1111111111,78727.77777777778,0.0
event66,hybrid_mask,mike_external,105527,7597944,20.338403701782227,56.09663391113281,2.446805477142334,0.6093404505346115,0.26932089685338456,28.54399299621582,1324.5844841003418,1324.5844841003418,520.4747314453125,994.0578937530518,557521.5854371799,557521.5854371799,20.338403701782227,1907,256295.12641843336,573069.1321235669,2469583.3333333335,628805.5555555555,265.0
event66,hybrid_hydraulic,coupled_label,105527,7597944,2.3145134449005127,8.983466148376465,0.1881353259086609,0.9325409867478989,0.8981351239715551,3.6618757247924805,6.054878234863281,6.054878234863281,32.92134475708008,971.0116386413574,-62000.03672117251,62000.03672117251,2.3145134449005127,1907,27223.78184831929,67678.81086510187,313722.22222222225,82505.55555555556,0.0
event66,hybrid_hydraulic,mike_external,105527,7597944,20.33388900756836,56.08452606201172,2.454371452331543,0.6107279789897602,0.2683088367755677,28.515384674072266,1325.0679969787598,1325.0679969787598,519.040771484375,994.0578937530518,557662.9691475251,557662.9691475251,20.33388900756836,1907,257344.47414907007,572883.0380906411,2497338.888888889,632372.2222222222,265.0
event66,hybrid_all,coupled_label,105527,7597944,2.292654037475586,8.888381004333496,0.15787702798843384,0.9342776510504022,0.8979516140277487,3.596727132797241,5.382061004638672,5.382061004638672,32.31858825683594,971.0116386413574,-63440.76735139871,63440.76735139871,2.292654037475586,1907,26538.825405794938,66564.74793108366,298883.3333333333,77144.44444444444,0.0
event66,hybrid_all,mike_external,105527,7597944,20.35085105895996,56.09170913696289,2.4241130352020264,0.6092070866839628,0.2690271957105694,28.595129013061523,1324.3951797485352,1324.3951797485352,518.4025268554688,994.0578937530518,556222.238517299,556222.238517299,20.35085105895996,1907,257849.60556795954,568115.9623098716,2478955.5555555555,631466.6666666666,265.0
event67,surface_matched,coupled_label,105527,7597944,12.63111686706543,52.7618408203125,10.927658081054688,0.8845356294222089,0.620360629912935,22.0767765045166,1.6584396362304688,1.6584396362304688,47.54762649536133,1139.8162841796875,923206.9623993558,923206.9623993558,12.63111686706543,1907,461265.23658821837,923206.9623993558,775433.3333333334,1395977.7777777778,0.0
event67,surface_matched,mike_external,105527,7597944,21.35552978515625,60.586612701416016,4.147629737854004,0.7186854416503303,0.573424906075115,33.40473175048828,402.21214294433594,402.21214294433594,436.4835205078125,1341.1600589752197,811062.3046000472,811062.3046000472,21.35552978515625,1907,294426.6029810783,811062.3046000472,1720122.2222222222,828494.4444444445,160.0
