reference,model,n_seeds,n_events,mae_mm_mean,mae_mm_sd,rmse_mm_mean,rmse_mm_sd,csi_0p03_mean,csi_0p03_sd,csi_0p15_mean,csi_0p15_sd,peak_map_mae_mm_mean,peak_map_mae_mm_sd,global_peak_bias_mm_mean,global_peak_bias_mm_sd,global_peak_abs_error_mm_mean,global_peak_abs_error_mm_sd,top0p1_peak_map_mae_mm_mean,top0p1_peak_map_mae_mm_sd,final_volume_bias_m3_mean,final_volume_bias_m3_sd,final_volume_abs_error_m3_mean,final_volume_abs_error_m3_sd,mean_abs_volume_error_m3_mean,mean_abs_volume_error_m3_sd,max_abs_volume_error_m3_mean,max_abs_volume_error_m3_sd,mean_abs_area_error_0p03_m2_mean,mean_abs_area_error_0p03_m2_sd,mean_abs_area_error_0p15_m2_mean,mean_abs_area_error_0p15_m2_sd,global_peak_time_error_min_mean,global_peak_time_error_min_sd,residual_mae_mm_mean,residual_mae_mm_sd
coupled_label,surface_matched,5,8,9.26592555642128,0.0,41.421358823776245,0.0,0.8891718173008369,0.0,0.633089435224642,0.0,16.83508598804474,0.0,5.839288234710693,0.0,5.839288234710693,0.0,81.4475564956665,0.0,699525.4826446861,0.0,699525.4826446861,0.0,331782.67158895667,0.0,699525.4826446861,0.0,665574.3055555555,0.0,1026131.25,0.0,1.25,0.0,9.26592555642128,0.0
mike_external,surface_matched,5,8,18.022923827171326,0.0,50.90548133850098,0.0,0.630448274522859,0.0,0.4669699187980713,6.206335383118183e-17,27.08256483078003,0.0,929.9105256795883,0.0,929.9105256795883,0.0,331.04695892333984,0.0,982098.3828238633,0.0,982098.3828238633,0.0,379414.244449369,0.0,982098.3828238633,0.0,2474733.3333333335,0.0,898556.25,0.0,166.875,0.0,18.022923827171326,0.0
coupled_label,prior_only,5,8,3.2255131900310516,0.0,13.621218204498291,0.0,0.8978834385559475,0.0,0.8667080760209596,0.0,5.402990132570267,0.0,-2.9802322387695312e-05,0.0,3.563135862350464,0.0,51.98068451881409,0.0,58237.171827683946,8.134767913360665e-12,129733.2553928032,0.0,84947.93642841061,0.0,156017.15203446813,0.0,602465.9722222222,0.0,204622.2222222222,0.0,0.0,0.0,3.2255131900310516,0.0
mike_external,prior_only,5,8,20.049479246139526,0.0,58.283448696136475,0.0,0.5948472413370218,0.0,0.3484025365181721,0.0,31.881515502929688,0.0,924.0712076425552,0.0,924.0712076425552,0.0,521.1828689575195,0.0,340810.0720068611,0.0,340810.0720068611,0.0,201036.19122315277,0.0,497864.96990365983,6.507814330688532e-11,1801291.6666666665,0.0,507679.1666666667,0.0,168.125,0.0,20.049479246139526,0.0
coupled_label,dynamic_no_prior,1,8,5.2731004655361176,0.0,19.63537073135376,0.0,0.8963037184777964,0.0,0.7311088080200303,0.0,8.283990323543549,0.0,-13.78372311592102,0.0,13.78372311592102,0.0,98.9838285446167,0.0,40525.92201212287,0.0,40525.92201212287,0.0,28118.230615387307,0.0,74175.25777826035,0.0,458852.77777777775,0.0,166219.44444444444,0.0,6.875,0.0,5.2731004655361176,0.0
mike_external,dynamic_no_prior,1,8,19.941521286964417,0.0,58.46454906463623,0.0,0.6228723388623716,0.0,0.323107993337364,0.0,32.50080323219299,0.0,910.2875143289566,0.0,910.2875143289566,0.0,542.9492797851562,0.0,323098.8221913,0.0,335568.11948752275,0.0,268802.30661061284,0.0,594427.5058397212,0.0,2278270.138888889,0.0,774093.0555555555,0.0,161.25,0.0,19.941521286964417,0.0
coupled_label,hybrid_dynamic,5,8,2.2168103367090226,0.00742009212760406,9.906835293769836,0.14052627045438967,0.9246666945670821,0.0006814327335025206,0.9052637085069593,0.0003742871707688881,3.5670970261096953,0.01537301097312765,-0.6593585014343262,0.8615206913522709,4.634308815002441,0.6354143248024481,48.38695821762085,1.3328087760247411,-12677.136039101122,4740.270855412823,31967.148435013787,1292.8885239890863,20238.189306733588,551.5272818722551,56937.48844808999,3514.270997789053,284497.7777777778,11142.953216929323,68763.75,1409.0040247710422,1.125,0.2795084971874737,2.216810342669487,0.007420098861833999
mike_external,hybrid_dynamic,5,8,20.991919708251952,0.01033666938672444,61.72051916122437,0.05172320849436905,0.603618462845613,0.0006036103704388153,0.30503375552421597,0.0004897708630851488,33.51805582046509,0.02880584137118503,923.4118789434433,0.8615206913522709,923.4118789434433,0.8615206913522709,535.0006744384766,3.310144467641601,269895.7641400761,4740.270855412801,286708.92649141117,3787.786528922608,248243.66696391386,763.3661196916953,549376.3363731226,2033.8703066129185,1949592.0833333335,14379.432661649465,706655.4166666666,2350.17670320031,167.0,0.2795084971874737,20.99191975593567,0.010336581138063012
coupled_label,hybrid_mask,1,8,2.1717754900455475,0.0,9.428762435913086,0.0,0.928757323718844,0.0,0.9060412404891457,0.0,3.5383350253105164,0.0,-0.7848143577575684,0.0,4.451632499694824,0.0,53.67941427230835,0.0,-6005.978123310808,0.0,27339.083639434684,0.0,19538.01077160565,0.0,50977.45615387242,0.0,260145.83333333334,0.0,64204.16666666667,0.0,0.625,0.0,2.1717754900455475,0.0
mike_external,hybrid_mask,1,8,20.998119473457336,0.0,61.79018688201904,0.0,0.6024543774577611,0.0,0.30538026251858796,0.0,33.56387162208557,0.0,923.28642308712,0.0,923.28642308712,0.0,546.4545745849609,0.0,276566.92205586634,0.0,292447.43036868086,0.0,247732.62603519438,0.0,550123.359444728,0.0,1945045.138888889,0.0,701012.5,0.0,167.5,0.0,20.998119473457336,0.0
