event,scenario,time_h,rain_m3,loss_m3,surface_m3,surface_net_exchange_m3,swmm_forward_exchange_m3,swmm_return_exchange_m3,swmm_net_exchange_m3,exchange_integral_mismatch_m3,surface_closure_m3
event20,B,5.0,1626389.6360564027,180171.840892581,1446276.3890915846,0.0,0.0,0.0,0.0,0.0,-58.5939277629368
event20,B,5.5,1657060.1584845695,197554.86321681965,1459581.2045646936,0.0,0.0,0.0,0.0,0.0,-75.90929694380611
event20,B,6.0,1672821.39928162,215209.63248080222,1457687.5705317194,0.0,0.0,0.0,0.0,0.0,-75.80373090156354
event20,C,0.5,5111.753830258549,4253.050689904424,870.5174479719062,0.39245015714642423,0.3925228609033209,2.7755575615628914e-16,0.3925228609033206,-7.27037568963862e-05,-12.20675777492761
event20,C,1.0,383381.52812518325,25283.89544502608,352103.3239389755,6006.518233158118,6006.9972238199025,-1.8189894035458565e-12,6006.997223819904,-0.4789906617861561,-12.209491976420395
event20,C,1.5,456649.99811552756,46350.26438599275,390422.16504422686,19889.803063454612,19890.154327392196,-1.0913936421275139e-11,19890.154327392207,-0.351263937594922,-12.234378146706149
event20,C,2.0,584443.8412845492,67451.71761480918,483888.75333207834,33115.638027926965,33116.0686033975,-7.275957614183426e-12,33116.06860339751,-0.4305754705419531,-12.267690265260171
event20,C,2.5,616818.2812472716,85984.24555520684,482671.6484300585,48190.75196812852,48191.118207632244,-1.4551915228366852e-11,48191.11820763226,-0.36623950373905245,-28.364706122200005
event20,C,3.0,618522.1991906911,97663.75252647909,461460.7028237266,59437.8747532611,59438.14058953048,-2.9103830456733704e-11,59438.14058953051,-0.26583626940555405,-40.130912775639445
event20,C,3.5,845995.2404056161,118355.68041639675,656354.9003215274,71326.5965899406,71327.19055783423,-1.4551915228366852e-11,71327.19055783424,-0.5939678936410928,-41.93692224856932
event20,C,4.0,1498595.792822561,139461.08108293274,1230457.799685665,128718.8405762964,128727.36346917797,1.4551915228366852e-11,128727.36346917796,-8.522892881563166,-41.92852233303711
event20,C,4.5,1530970.2331251819,159192.80324228344,1167779.6536225397,204051.45057953827,204053.8720594772,0.0,204053.8720594772,-2.4214799389301334,-53.6743191794958
event20,C,5.0,1626389.6360564027,180085.0423170688,1182408.4320076946,263950.0925413476,263953.356737111,-5.820766091346741e-11,263953.35673711105,-3.2641957634477876,-53.930809708312154
event20,C,5.5,1657060.1584845695,197410.00825701034,1144169.3438565587,315552.5316250585,315557.05314954417,-5.820766091346741e-11,315557.0531495442,-4.5215244857245125,-71.72525405790657
event20,C,6.0,1672821.39928162,215018.28906270908,1103083.2308029418,354791.3411941054,354692.141892141,-1.1641532182693481e-10,354692.14189214114,99.19930196425412,-71.46177813620307
event65,B,0.5,232700.4387690438,15512.176693384114,217188.72405523434,0.0,0.0,0.0,0.0,0.0,-0.4619795746402815
event65,B,1.0,1187939.3920691384,36617.57735991991,1151322.282392875,0.0,0.0,0.0,0.0,0.0,-0.4676836566068232
event65,B,1.5,1291159.1782822798,57721.79186624484,1233438.1404256152,0.0,0.0,0.0,0.0,0.0,-0.7540095802396536
event65,B,2.0,1317420.042705595,77713.81768973303,1239707.1125410178,0.0,0.0,0.0,0.0,0.0,-0.8875251559074968
event65,B,2.5,1367753.366272731,97387.210336949,1270367.3674584716,0.0,0.0,0.0,0.0,0.0,-1.2115226895548403
event65,B,3.0,1536625.3142579868,118492.60995584054,1418134.6366314741,0.0,0.0,0.0,0.0,0.0,-1.9323293277993798
event65,B,3.5,1609207.4263074726,138943.14702156582,1470266.4136920935,0.0,0.0,0.0,0.0,0.0,-2.1344061866402626
event65,B,4.0,1684707.411587967,159707.2460090618,1525002.9430317576,0.0,0.0,0.0,0.0,0.0,-2.7774528523441404
event65,B,4.5,1864521.3893739835,180772.68010369342,1683751.850915054,0.0,0.0,0.0,0.0,0.0,-3.1416447639930993
event65,B,5.0,2046523.7710336582,201878.08077022943,1844649.1474356619,0.0,0.0,0.0,0.0,0.0,-3.457172233145684
event65,B,5.5,2136248.3916657344,222983.0081250785,1913269.0120693976,0.0,0.0,0.0,0.0,0.0,-3.6285287416540086
event65,B,6.0,2165791.864224041,243120.1110522032,1922675.4512015388,0.0,0.0,0.0,0.0,0.0,-3.6980297011323273
event65,C,0.5,232700.4387690438,15512.028357666793,215963.38257720927,1225.020554855317,1225.2878498803454,4.547473508864641e-13,1225.287849880345,-0.2672950250280337,0.007279312412720174
event65,C,1.0,1187939.3920691384,36617.42902420259,1096127.8597464727,55194.067448083006,55212.502724211445,1.4551915228366852e-11,55212.50272421143,-18.435276128424448,0.0358503800816834
event65,C,1.5,1291159.1782822798,57721.65579136239,1101915.778549189,131521.66499602332,131527.95084605482,0.04079695575637743,131527.91004909907,-6.245053075748729,0.07894570520147681
event65,C,2.0,1317420.042705595,77702.1957485869,1053648.13045654,186069.34430588613,186072.81758220715,0.061596418789122254,186072.75598578836,-3.4116799022303894,0.3721945818979293
event65,C,2.5,1367753.366272731,97367.49568605612,1038348.0548183653,232037.40112792363,232037.94536609825,0.06159641873091459,232037.88376967952,-0.48264175589429215,0.41464038600679487
event65,C,3.0,1536625.3142579868,118472.89531450623,1143661.8577661198,274490.21291079023,274498.3730646122,0.06159641867270693,274498.31146819354,-8.098557403311133,0.3482665705960244
event65,C,3.5,1609207.4263074726,138911.9365965893,1152584.7345708958,317710.11524899426,317714.6868786526,0.06159641873091459,317714.6252822339,-4.510033239610493,0.6398909932468086
event65,C,4.0,1684707.411587967,159670.81823853782,1166136.760310715,358899.1946093195,358907.8808500262,0.06159641873091459,358907.8192536075,-8.624644287978299,0.6384293946903199
event65,C,4.5,1864521.3893739835,180735.63818619915,1284091.3333079894,399693.7717129903,399700.20185816364,0.06159641873091459,399700.1402617449,-6.368548754602671,0.6461668047122657
event65,C,5.0,2046523.7710336582,201841.03885273516,1391057.1885902188,453624.90299470065,453625.4544529635,0.06159641873091459,453625.39285654476,-0.48986184410750866,0.64059600350447
event65,C,5.5,2136248.3916657344,222945.97529522105,1403109.641361172,510192.1348666803,510199.77460647724,0.061596418789122254,510199.71301005845,-7.578143378137611,0.6401426610536873
event65,C,6.0,2165791.864224041,243058.18999845837,1362190.1329108102,560542.887716418,560418.414221876,0.17786591104231775,560418.2363559649,124.65136045310646,0.6535983544308692
event66,B,0.5,247707.4133015551,15673.484416348188,232034.28029285278,0.0,0.0,0.0,0.0,0.0,-0.3514076458814088
event66,B,1.0,1264550.2076625742,36778.88508288398,1227771.7003909114,0.0,0.0,0.0,0.0,0.0,-0.3778112211730331
event66,B,1.5,1374426.6917260326,57883.729644060775,1316543.6281658178,0.0,0.0,0.0,0.0,0.0,-0.6660838460084051
event66,B,2.0,1402381.1330289163,78092.00893143963,1324289.7318906242,0.0,0.0,0.0,0.0,0.0,-0.6077931474428624
event66,B,2.5,1455960.4789637874,98035.55097523404,1357925.7455860353,0.0,0.0,0.0,0.0,0.0,-0.8175974818877876
event66,B,3.0,1635723.066015453,119140.9480284498,1516583.7728643469,0.0,0.0,0.0,0.0,0.0,-1.6548773436807096
event66,B,3.5,1712986.0362106096,139706.91123688477,1573280.841626295,0.0,0.0,0.0,0.0,0.0,-1.716652570059523
event66,B,4.0,1793355.0545890431,160538.69253271993,1632818.4100445185,0.0,0.0,0.0,0.0,0.0,-2.0479881952051073
event66,B,4.5,1984765.3248501876,181616.3793426903,1803151.5222107759,0.0,0.0,0.0,0.0,0.0,-2.5767032785806805
event66,B,5.0,2178505.1336331586,202721.77245286285,1975786.2083681626,0.0,0.0,0.0,0.0,0.0,-2.847187866922468
event66,B,5.5,2274016.1410989147,223826.9269489193,2050192.3273663048,0.0,0.0,0.0,0.0,0.0,-3.113216309575364
event66,B,6.0,2305464.8872295674,244117.59013165397,2061350.3922647869,0.0,0.0,0.0,0.0,0.0,-3.0951668734196573
event66,C,0.5,247707.4133015551,15673.343254430982,230678.89128668467,1355.1697191984292,1355.4637993037732,2.2737367544323206e-13,1355.463799303773,-0.2940801053437099,0.00904124102089554
event66,C,1.0,1264550.2076625742,36778.74392096677,1167044.7302154265,60726.72348747184,60748.7617228157,-7.275957614183426e-12,60748.76172281571,-22.03823534386902,0.010038709035143256
event66,C,1.5,1374426.6917260326,57883.592771595475,1170245.5223908313,146297.5553455918,146304.9422712797,4.099688385234913,146300.84258289446,-3.2872373026621062,0.02121801394969225
event66,C,2.0,1402381.1330289163,78081.47803831167,1115447.830191144,208851.74608607867,208858.64200766265,4.851406619331101,208853.79060104332,-2.044514964654809,0.07871338189579546
event66,C,2.5,1455960.4789637874,98015.29829407713,1099310.6339906836,258634.40886964797,258641.5574899273,4.851406619331101,258636.70608330797,-2.297213660000125,0.1378093787934631
event66,C,3.0,1635723.066015453,119120.69896061314,1214009.2406384503,302592.99435755477,302609.9501540065,4.851406619301997,302605.0987473872,-12.10438983241329,0.13205883488990366
event66,C,3.5,1712986.0362106096,139676.73465556768,1219574.7804745084,353734.3290982859,353739.2066303099,4.851406619301997,353734.3552236906,-0.026125404750928283,0.19198224763385952
event66,C,4.0,1793355.0545890431,160503.36334169237,1236219.0745719592,396632.38585637155,396646.25709351426,4.8514066192437895,396641.405686895,-9.019830523466226,0.2308190199546516
event66,C,4.5,1984765.3248501876,181580.5244655492,1363084.3853271857,440100.0957673296,440115.6428534383,4.8514066192437895,440110.791446819,-10.695679489406757,0.31929012294858694
event66,C,5.0,2178505.1336331586,202685.92513208522,1474305.9912928292,501512.8161763911,501522.71021969384,4.8514066192437895,501517.8588130746,-5.042636683501769,0.4010318531654775
event66,C,5.5,2274016.1410989147,223791.0835260431,1487005.4592157842,563219.1997456483,563224.6739409335,4.851406619301997,563219.8225343142,-0.6227886659326032,0.39861143892630935
event66,C,6.0,2305464.8872295674,244058.1379252334,1442524.224113583,618881.9375007016,618753.4444100781,4.851406619185582,618748.5930034589,133.34449724270962,0.5876900493167341
event67,B,0.5,82441.38716942073,18894.853189568836,63546.67596612344,0.0,0.0,0.0,0.0,0.0,-0.1419862715411
event67,B,1.0,613283.4910801292,40000.23941465691,573284.0074054897,0.0,0.0,0.0,0.0,0.0,-0.7557400173973292
event67,B,1.5,1431665.057013643,61105.6400811927,1370560.2268715505,0.0,0.0,0.0,0.0,0.0,-0.8099391001742333
event67,B,2.0,2057013.135980547,82211.04074772866,1974802.918650792,0.0,0.0,0.0,0.0,0.0,-0.8234179737046361
event67,B,2.5,2270154.2816145187,103316.44141426467,2166838.827603472,0.0,0.0,0.0,0.0,0.0,-0.987403217703104
event67,B,3.0,2477263.1311330087,124421.84120826896,2352842.4681178816,0.0,0.0,0.0,0.0,0.0,-1.1781931417062879
event67,B,3.5,2521499.973234654,145487.18662071726,2376013.7825204637,0.0,0.0,0.0,0.0,0.0,-0.9959065271541476
event67,B,4.0,2549650.690606099,165978.6096577352,2383672.9828721657,0.0,0.0,0.0,0.0,0.0,-0.9019238017499447
event67,B,4.5,2579812.173702114,186571.9647692691,2393241.055192396,0.0,0.0,0.0,0.0,0.0,-0.8462595511227846
event67,B,5.0,2601930.594539664,206070.17665434987,2395861.266516224,0.0,0.0,0.0,0.0,0.0,-0.8486309098079801
event67,B,5.5,2630081.3121243804,226745.35638068558,2403337.1193205994,0.0,0.0,0.0,0.0,0.0,-1.1635769046843052
event67,B,6.0,2670296.623203429,247835.51332904352,2422462.282209962,0.0,0.0,0.0,0.0,0.0,-1.1723355767317116
event67,C,0.5,82441.38716942073,18894.74351015994,63023.756609051634,522.8977679792058,522.9389020167786,2.2737367544323206e-13,522.9389020167783,-0.04113403757253309,-0.010717770048358943
event67,C,1.0,613283.4910801292,40000.14380047665,564197.0848831581,9086.252624568146,9087.253375988583,-1.8189894035458565e-12,9087.253375988585,-1.0007514204389736,0.009771926212124527
event67,C,1.5,1431665.057013643,61105.54446701244,1292850.390988891,77709.11479017344,77717.10914113467,0.0021358661324484274,77717.10700526854,-7.992215095102438,0.00676756608299911
event67,C,2.0,2057013.135980547,82210.9451335484,1760653.9915471803,214148.13721089435,214449.90805299234,284.72380881523713,214165.1842441771,-17.047033282753546,0.06208892376162112
event67,C,2.5,2270154.2816145187,103316.34580008441,1803929.7099680612,362908.1299291532,363963.13937027636,1044.6133899146807,362918.5259803617,-10.396051208488643,0.09591721976175904
event67,C,3.0,2477263.1311330087,124421.74560183146,1850739.6109158269,502101.7065554976,503831.3584609556,1699.6331161094713,502131.72534484614,-30.01878934854176,0.0680598528124392
event67,C,3.5,2521499.973234654,145486.12989751637,1760016.73710498,615996.8499846056,618303.1473496753,2303.8216222930932,615999.3257273822,-2.4757427766453475,0.2562475521117449
event67,C,4.0,2549650.690606099,165962.32590693512,1674631.150712887,709056.9038507106,711689.4129896214,2628.538771654945,709060.8742179665,-3.970367255853489,0.31013556639663875
event67,C,4.5,2579812.173702114,186540.9775563576,1610928.125566066,782342.8575816536,785040.5699601786,2696.054888570099,782344.5150716085,-1.6574899548431858,0.2129980365280062
event67,C,5.0,2601930.594539664,205992.62152921662,1556849.5648542286,839088.3014676912,841789.6211159744,2696.054888570099,839093.5662274043,-5.264759713085368,0.10668852808885276
event67,C,5.5,2630081.3121243804,226658.24676782373,1517731.4552021134,885691.476420817,888392.834351121,2696.054888570099,885696.7794625509,-5.30304173391778,0.1337336264550686
event67,C,6.0,2670296.623203429,247748.18573747046,1499255.3198106063,923293.040073485,925897.3929708564,2696.0548885702156,923201.3380822862,91.70199119881727,0.07758186687715352
event68,B,0.5,78792.77711198479,18805.975583988067,59987.26431128598,0.0,0.0,0.0,0.0,0.0,-0.4627832892583683
event68,B,1.0,586141.3940094725,39911.37563035647,546231.0076648835,0.0,0.0,0.0,0.0,0.0,-0.989285767544061
event68,B,1.5,1368303.838738419,61016.77629689226,1307288.0802999483,0.0,0.0,0.0,0.0,0.0,-1.0178584214299917
event68,B,2.0,1965975.8832159652,82122.17696342822,1883854.7939928598,0.0,0.0,0.0,0.0,0.0,-1.0877403228078038
event68,B,2.5,2169684.0389089,103227.57157119768,2066457.7732847086,0.0,0.0,0.0,0.0,0.0,-1.3059470059815794
event68,B,3.0,2367626.869439067,124332.9664885443,2243295.3072633785,0.0,0.0,0.0,0.0,0.0,-1.4043128560297191
event68,B,3.5,2409905.920401435,145392.00661447944,2264515.205597535,0.0,0.0,0.0,0.0,0.0,-1.2918105791322887
event68,B,4.0,2436810.770793424,165776.8287220659,2271035.213286306,0.0,0.0,0.0,0.0,0.0,-1.2712149475701153
event68,B,4.5,2465637.396345854,186289.5411632976,2279349.340092474,0.0,0.0,0.0,0.0,0.0,-1.4849099176935852
event68,B,5.0,2486776.921684409,205588.3670438795,2281190.261193537,0.0,0.0,0.0,0.0,0.0,-1.7065530074760318
event68,B,5.5,2513681.772219028,226144.93514950946,2287538.738393318,0.0,0.0,0.0,0.0,0.0,-1.901323799509555
event68,B,6.0,2552117.273145773,247232.47799703796,2304886.810986713,0.0,0.0,0.0,0.0,0.0,-2.015837978105992
event68,C,0.5,78792.77711198479,18805.873708006293,59507.75476051895,479.14096626080254,479.178765322851,-1.1368683772161603e-13,479.1787653228511,-0.037799062048577525,0.007677198744204361
event68,C,1.0,586141.3940094725,39911.27375446474,537839.8202680517,8390.271272206444,8391.195419123667,-1.8189894035458565e-12,8391.19541912367,-0.9241469172247889,0.02871474961284548
event68,C,1.5,1368303.838738419,61016.67442100053,1235455.4420999135,71831.71630763382,71856.77875585466,0.0,71856.77875585466,-25.062448220836814,0.005909871309995651
event68,C,2.0,1965975.8832159652,82122.07508753649,1689394.000915822,194459.77875858272,194490.10547233996,20.163419514108682,194469.94205282585,-10.163294243131531,0.028454023879021406
event68,C,2.5,2169684.0389089,103227.4757540725,1732860.4628727015,333596.12981089286,334295.12093287945,667.5419382622349,333627.5789946172,-31.449183724354953,-0.029528766637668014
event68,C,3.0,2367626.869439067,124332.87461558323,1784555.320816535,458738.71811326436,460028.92373364733,1281.7109140736284,458747.2128195737,-8.494706309342291,-0.04410631558857858
event68,C,3.5,2409905.920401435,145390.8434773573,1698755.5310114876,565759.1574342265,567604.9914703132,1836.7159634779673,565768.2755068352,-9.118072608718649,0.3884783636312932
event68,C,4.0,2436810.770793424,165760.28404265488,1616304.7099753076,654745.3262615568,656920.6006191263,2164.0320342802443,654756.5685848461,-11.2423232892761,0.45051390468142927
event68,C,4.5,2465637.396345854,186258.24366689604,1554169.1919766995,725209.5102319383,727471.2079377822,2255.9257858428173,725215.2821519393,-5.771920001017861,0.4504703199490905
event68,C,5.0,2486776.921684409,205510.46575438185,1501930.3798105197,779335.8496845822,781601.1977488371,2255.9257858429337,779345.2719629941,-9.422278411919251,0.22643492533825338
event68,C,5.5,2513681.772219028,226055.40339964113,1465941.7593759422,821683.5261283729,823941.0543842984,2255.9257858429337,821685.1285984555,-1.602470082580112,1.0833150716498494
event68,C,6.0,2552117.273145773,247142.75892084587,1448200.6791682236,856772.7298590228,858945.7825157277,2255.9257858428173,856689.8567298849,82.87312913790811,1.1051976804155856
event69,B,0.5,74770.51737736464,18707.791753533373,56062.963496893644,0.0,0.0,0.0,0.0,0.0,-0.2378730623750016
event69,B,1.0,556219.7065650821,39813.19143379106,516407.2425733786,0.0,0.0,0.0,0.0,0.0,-0.7274420876055956
event69,B,1.5,1298453.8647050739,60918.592100326845,1237535.9990278375,0.0,0.0,0.0,0.0,0.0,-0.7264230905566365
event69,B,2.0,1865615.589109981,82023.99123593493,1783592.548534344,0.0,0.0,0.0,0.0,0.0,-0.9506602978799492
event69,B,2.5,2058924.7319889069,103129.39190247093,1955796.4387129236,0.0,0.0,0.0,0.0,0.0,-1.0986264876555651
event69,B,3.0,2246762.8586751577,124234.7838962533,2122529.3831447894,0.0,0.0,0.0,0.0,0.0,-1.308365885168314
event69,B,3.5,2286883.6246084087,145258.1455296504,2141626.906223413,0.0,0.0,0.0,0.0,0.0,-1.4271446550264955
event69,B,4.0,2312415.0211337623,165465.61455215845,2146950.844077368,0.0,0.0,0.0,0.0,0.0,-1.4374957638792694
event69,B,4.5,2339770.0888260542,185821.25812915605,2153950.80680265,0.0,0.0,0.0,0.0,0.0,-1.9761057519353926
event69,B,5.0,2359830.4718071586,204853.78056180946,2154978.9280238952,0.0,0.0,0.0,0.0,0.0,-2.2367785461246967
event69,B,5.5,2385361.8683180343,225193.23104111385,2160171.2631168175,0.0,0.0,0.0,0.0,0.0,-2.625839896965772
event69,B,6.0,2421835.291888452,246255.4364310414,2175582.9065051666,0.0,0.0,0.0,0.0,0.0,-3.051047755870968
event69,C,0.5,74770.51737736464,18707.701194999856,55627.038124104,435.7818706627014,435.81640537165157,1.1368683772161603e-13,435.81640537165146,-0.03453470895004784,-0.0038124019192764536
event69,C,1.0,556219.7065650821,39813.100875077114,508680.0789886387,7726.521296659166,7727.374760275013,-9.094947017729282e-13,7727.374760275014,-0.8534636158474314,0.005404707044363022
event69,C,1.5,1298453.8647050739,60918.5015416129,1171307.0547832176,66228.31254890848,66231.307966533,-1.4551915228366852e-11,66231.30796653302,-2.9954176245373674,-0.004168665036559105
event69,C,2.0,1865615.589109981,82023.90220814887,1600285.2648339816,183306.43406214498,183379.09130842352,51.3645158309082,183327.7267925926,-21.292730447632493,-0.01199429458938539
event69,C,2.5,2058924.7319889069,103129.30287468487,1642550.6601289788,313244.7704971619,313933.3645376172,679.3966186274192,313253.9679189898,-9.197421827877406,-0.0015119186136871576
event69,C,3.0,2246762.8586751577,124234.69996368673,1693489.9542929577,429038.22687799035,430339.6432419238,1296.4159862219822,429043.22725570184,-5.000377711490728,-0.02245947695337236
event69,C,3.5,2286883.6246084087,145256.5717903016,1611538.1511615876,530088.6750551376,531928.888053648,1829.8781778276898,530099.0098758204,-10.334820682764985,0.22660138178616762
event69,C,4.0,2312415.0211337623,165445.0412578595,1534201.6216682799,612767.5390161832,614907.5152492918,2134.286566611612,612773.2286826802,-5.689666496939026,0.8191914395429194
event69,C,4.5,2339770.0888260542,185781.58198330423,1478524.5407189585,675462.9386799963,677673.8378275204,2199.873965698527,675473.9638618219,-11.025181825621985,1.0274437952321023
event69,C,5.0,2359830.4718071586,204763.16389919777,1430306.807389195,724758.9375582981,726968.4188463016,2199.873965698527,724768.5448806031,-9.607322304975241,1.5629604677669704
event69,C,5.5,2385361.8683180343,225088.1694627836,1396025.1747794899,764246.5210943413,766448.1904145333,2199.8739656984108,764248.3164488348,-1.795354493544437,2.0029814194422215
event69,C,6.0,2421835.291888452,246149.6843282382,1380076.9851031739,795606.936348233,797734.7710149152,2199.8739656984108,795534.8970492168,72.03929901623633,1.6861088073346764
event70,B,0.5,79592.50711277575,18825.49168919681,60767.16238116314,0.0,0.0,0.0,0.0,0.0,-0.14695758419838967
event70,B,1.0,592090.5995248065,39930.88808095005,552160.319314152,0.0,0.0,0.0,0.0,0.0,-0.6078702955273911
event70,B,1.5,1382191.8276799426,61036.288747485836,1321156.1635129503,0.0,0.0,0.0,0.0,0.0,-0.6245804934296757
event70,B,2.0,1985930.1076972468,82141.68901026412,1903789.091291884,0.0,0.0,0.0,0.0,0.0,-0.6726049012504518
event70,B,2.5,2191705.8559268815,103247.08967680013,2088459.6826145686,0.0,0.0,0.0,0.0,0.0,-0.9163644872605801
event70,B,3.0,2391657.7627775413,124352.48871256482,2267306.255754927,0.0,0.0,0.0,0.0,0.0,-0.9816899509169161
event70,B,3.5,2434365.9372882196,145413.04868122155,2288953.800980127,0.0,0.0,0.0,0.0,0.0,-0.9123731288127601
event70,B,4.0,2461543.8662436567,165824.76197116094,2295720.231801905,0.0,0.0,0.0,0.0,0.0,-1.1275294092483819
event70,B,4.5,2490663.0760061806,186358.16944478243,2304305.9906519237,0.0,0.0,0.0,0.0,0.0,-1.0840905257500708
event70,B,5.0,2512017.163081229,205705.40533257186,2306312.9191264934,0.0,0.0,0.0,0.0,0.0,-1.1613778360188007
event70,B,5.5,2539195.092216957,226290.91136434829,2312905.345561203,0.0,0.0,0.0,0.0,0.0,-1.1647085943259299
event70,B,6.0,2578020.705474043,247379.13248048295,2330642.7524804105,0.0,0.0,0.0,0.0,0.0,-1.1794868507422507
event70,C,0.5,79592.50711277575,18825.387076275434,60278.484706654126,488.6262306130583,488.6647704057857,-5.684341886080802e-14,488.66477040578576,-0.03853979272747665,0.009099233131564688
event70,C,1.0,592090.5995248065,39930.787167838454,543618.2579787448,8541.529935707857,8542.47095712152,0.0,8542.47095712152,-0.9410214136642026,0.0244425154523924
event70,C,1.5,1382191.8276799426,61036.18783437424,1248153.2859966275,73002.32918157715,73020.97001226866,-4.3655745685100555e-11,73020.9700122687,-18.640830691554584,0.02466736384667456
event70,C,2.0,1985930.1076972468,82141.5885009102,1702030.0058127614,201737.2019174511,201848.3742676173,99.10048536831164,201749.273782249,-12.071864797879243,21.31146612414159
event70,C,2.5,2191705.8559268815,103246.98916744621,1748301.9871568568,340135.5136078725,340916.9302271054,768.0017142945435,340148.92851281085,-13.414904938370455,21.365994706051424
