event,scenario,time_h,rain_m3,loss_m3,surface_m3,surface_net_exchange_m3,swmm_forward_exchange_m3,swmm_return_exchange_m3,swmm_net_exchange_m3,exchange_integral_mismatch_m3,surface_closure_m3
event1,B,0.5,40215.31071187258,15850.670386831765,24385.985439500437,0.0,0.0,0.0,0.0,0.0,-21.345114459618344
event1,B,1.0,195044.25377657416,33590.686034572704,161476.97743212484,0.0,0.0,0.0,0.0,0.0,-23.40969012340065
event1,B,1.5,237270.32942177058,53513.62422764657,183804.74941122308,0.0,0.0,0.0,0.0,0.0,-48.04421709905728
event1,B,2.0,661541.8552297711,73536.67312762297,588053.4446803853,0.0,0.0,0.0,0.0,0.0,-48.2625782371033
event1,B,2.5,1520138.7339085697,94642.07379415898,1425544.949389738,0.0,0.0,0.0,0.0,0.0,-48.289275327231735
event1,B,3.0,1861968.8704605696,115747.46902610835,1746269.9553822079,0.0,0.0,0.0,0.0,0.0,-48.55394774652086
event1,B,3.5,1988647.0984224675,136852.86969264434,1851843.0852614124,0.0,0.0,0.0,0.0,0.0,-48.85653158929199
event1,B,4.0,2034894.7058720412,157813.541217164,1877130.2111031495,0.0,0.0,0.0,0.0,0.0,-49.04644827218726
event1,B,4.5,2065056.188779736,177736.93009117086,1887387.4511561953,0.0,0.0,0.0,0.0,0.0,-68.19246763014235
event1,B,5.0,2073099.2508249283,192765.5261074159,1880425.4840120978,0.0,0.0,0.0,0.0,0.0,-91.75929458555765
event1,B,5.5,2079131.5473588225,206533.65446658165,1872713.8976480863,0.0,0.0,0.0,0.0,0.0,-116.0047558452934
event1,B,6.0,2079131.5473588225,216591.17060327576,1862668.5947815287,0.0,0.0,0.0,0.0,0.0,-128.21802598191425
event1,C,0.5,40215.31071187258,15845.7306727881,24061.234073797852,329.419449893361,329.4279518796871,5.684341886080802e-14,329.42795187968704,-0.008501986326052702,-21.073484606731654
event1,C,1.0,195044.25377657416,33580.3757312883,159778.46654957102,1708.0682336926445,1708.223363540435,-2.2737367544323206e-13,1708.2233635404352,-0.15512984779070393,-22.656737977813464
event1,C,1.5,237270.32942177058,53506.712295799014,177693.37341315515,6117.115240230746,6117.218929670542,2.7284841053187847e-12,6117.218929670539,-0.10368943979301548,-46.87152741433238
event1,C,2.0,661541.8552297711,73529.46791626471,573579.4727657689,14479.783849573218,14480.693457729185,0.0,14480.693457729185,-0.9096081559673621,-46.8693018356571
event1,C,2.5,1520138.7339085697,94634.86858280071,1336530.4369655787,89020.29013828751,89048.15311791979,0.003490151255391538,89048.14962776854,-27.859489481023047,-46.861778097227216
event1,C,3.0,1861968.8704605696,115740.26924933672,1533311.7316055489,212963.7302864145,213143.30277214188,179.06951641963678,212964.23325572224,-0.5029693077376578,-46.860680730547756
event1,C,3.5,1988647.0984224675,136845.6699158727,1530388.1141139339,321460.08486915904,322289.17675221903,815.0301236722153,321474.1466285468,-14.06175938778324,-46.77047649817541
event1,C,4.0,2034894.7058720412,157804.80077598113,1467542.9837773489,409593.56221755483,410920.7546696457,1319.542717765784,409601.2119518799,-7.6497343250666745,-46.6408988435287
event1,C,4.5,2065056.188779736,177704.59302244187,1404818.6132392767,482599.0231804715,484249.1795605816,1643.1685484621557,482606.0110121194,-6.9878316479153,-66.04066245420836
event1,C,5.0,2073099.2508249283,192642.46442168622,1343007.9143725955,537539.5460662643,539188.9999070904,1648.6357824857114,537540.3641246047,-0.8180583404609933,-90.67403561761603
event1,C,5.5,2079131.5473588225,206368.75678085373,1290611.9956374597,582265.7280122676,583920.4021946673,1648.6357824858278,582271.7664121814,-6.038399913813919,-114.93307175859809
event1,C,6.0,2079131.5473588225,216366.78117551716,1245568.598860283,617324.4668536405,618893.8989374796,1648.6357824857114,617245.2631549939,79.20369864662644,-128.29953061812557
event20,B,0.5,5111.753830258549,4253.512515338409,870.5538988160697,0.0,0.0,0.0,0.0,0.0,-12.312583895929492
event20,B,1.0,383381.52812518325,25284.38207022474,358110.3827168685,0.0,0.0,0.0,0.0,0.0,-13.236661909963004
event20,B,1.5,456649.99811552756,46350.45739300907,410313.22229478555,0.0,0.0,0.0,0.0,0.0,-13.681572267087176
event20,B,2.0,584443.8412845492,67451.90072583348,517006.4834106379,0.0,0.0,0.0,0.0,0.0,-14.54285192216048
event20,B,2.5,616818.2812472716,85998.15984420155,530850.970541473,0.0,0.0,0.0,0.0,0.0,-30.849138402962126
event20,B,3.0,618522.1991906911,97725.37425243332,520840.3343973334,0.0,0.0,0.0,0.0,0.0,-43.50945907557616
event20,B,3.5,845995.2404056161,118420.07670349217,727621.0021958726,0.0,0.0,0.0,0.0,0.0,-45.838493748684414
event20,B,4.0,1498595.792822561,139525.46918606167,1359116.4811748895,0.0,0.0,0.0,0.0,0.0,-46.15753839025274
event20,B,4.5,1530970.2331251819,159276.94848325604,1371751.2820188715,0.0,0.0,0.0,0.0,0.0,-57.99737694580108
