event,rectangle_km2,active_km2,inactive_proxy_km2,nonfinite_dem_cells,active_mean_total_mm,rectangle_mean_total_mm,raw_m3,active_direct_m3,inactive_reassigned_m3,injected_reconstructed_m3,B_loss_m3,C_loss_m3
event1,89.60000000000001,42.2108,47.3892,0,23.516315495816148,23.204593295834325,2079131.5593067557,992642.4901307963,1086489.0691759593,2079131.5473588225,216591.17060327576,216366.78117551716
event20,89.60000000000001,42.2108,47.3892,0,18.675267531081833,18.669881801719644,1672821.4094340801,788297.9827009891,884523.4267330911,1672821.39928162,215209.63248080222,215018.28906270908
event65,89.60000000000001,42.2108,47.3892,0,24.615166811437362,24.171784052939206,2165791.8511433527,1039025.8832442202,1126765.9678991304,2165791.864224041,243120.1110522032,243058.18999845837
event66,89.60000000000001,42.2108,47.3892,0,25.947239044736296,25.730634950367467,2305464.891552925,1095253.7178695549,1210211.1736833702,2305464.8872295674,244117.59013165397,244058.1379252334
event67,89.60000000000001,42.2108,47.3892,0,30.202772700273187,29.802417700099927,2670296.6259289533,1274883.1978966915,1395413.428032262,2670296.623203429,247835.51332904352,247748.18573747046
event68,89.60000000000001,42.2108,47.3892,0,28.64342060733802,28.483451686874364,2552117.271143943,1209061.6985722238,1343055.5725717195,2552117.273145773,247232.47799703796,247142.75892084587
event69,89.60000000000001,42.2108,47.3892,0,27.525211785950273,27.029411604588468,2421835.279771127,1161861.2096543896,1259974.0701167372,2421835.291888452,246255.4364310414,246149.6843282382
event70,89.60000000000001,42.2108,47.3892,0,29.01476381097937,28.77255241394908,2578020.6962898374,1224736.392272488,1353284.3040173494,2578020.705474043,247379.13248048295,247285.1227998474
