event,step,time_h,raw_m3,active_direct_m3,inactive_reassigned_m3,injected_reconstructed_m3,roundoff_m3
event1,1,0.08333333333333333,2010.765528306365,960.002405307442,1050.763122998923,2010.7655112981797,-1.700818552308192e-05
event1,2,0.16666666666666666,28150.71752667427,13440.033743774891,14710.683782899381,28150.717619132996,9.24587238841923e-05
event1,3,0.25,10053.82764339447,4800.012041044235,5253.815602350235,10053.827581441403,-6.195306741574313e-05
event1,4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
event1,5,0.4166666666666667,0.0,0.0,0.0,0.0,0.0
event1,6,0.5,0.0,0.0,0.0,0.0,0.0
event1,7,0.5833333333333334,0.0,0.0,0.0,0.0,0.0
event1,8,0.6666666666666666,2010.765528306365,960.002405307442,1050.763122998923,2010.7655112981797,-1.700818552308192e-05
event1,9,0.75,4021.53105661273,1920.004810614884,2101.526245997846,4021.5310225963594,-3.401637104616384e-05
event1,10,0.8333333333333334,8043.06211322546,3840.009621229768,4203.052491995692,8043.062045192719,-6.803274209232768e-05
event1,11,0.9166666666666666,118635.16616821289,56640.142059421545,61995.02410879135,118635.16395339966,-0.0022148132338770665
event1,12,1.0,22118.420898914337,10560.02653862238,11558.394360291959,22118.420532214644,-0.00036669969449576456
event1,13,1.0833333333333333,0.0,0.0,0.0,0.0,0.0
event1,14,1.1666666666666667,0.0,0.0,0.0,0.0,0.0
event1,15,1.25,22118.420898914337,10560.02653862238,11558.394360291959,22118.420532214644,-0.00036669969449576456
event1,16,1.3333333333333333,16086.12422645092,7680.019242459536,8406.104983991385,16086.124090385438,-0.00013606548418465536
event1,17,1.4166666666666667,4021.53105661273,1920.004810614884,2101.526245997846,4021.5310225963594,-3.401637104616384e-05
event1,18,1.5,0.0,0.0,0.0,0.0,0.0
event1,19,1.5833333333333333,4021.53105661273,1920.004810614884,2101.526245997846,4021.5310225963594,-3.401637104616384e-05
event1,20,1.6666666666666667,2010.765528306365,960.002405307442,1050.763122998923,2010.7655112981797,-1.700818552308192e-05
event1,21,1.75,18096.88976407051,8640.021658444404,9456.868105626107,18096.89002506733,0.0002609968178148847
event1,22,1.8333333333333333,64344.49690580368,30720.076969838145,33624.41993596554,64344.49636154175,-0.0005442619367386214
event1,23,1.9166666666666667,148796.64933681488,71040.17815937997,77756.47117743493,148796.65006027222,0.0007234573276946321
event1,24,2.0,187001.1945962906,89280.22393689156,97720.97065939904,187001.19282722473,-0.001769065871485509
event1,25,2.0833333333333335,166893.53847503662,79680.1994987011,87213.33897633554,166893.53527326585,-0.003201770785381086
event1,26,2.1666666666666665,170915.07053375244,81600.20490984917,89314.86562390329,170915.07168540955,0.0011516570957610384
event1,27,2.25,108581.33900165558,51840.13021893502,56741.20878272057,108581.33975200653,0.0007503509477828629
event1,28,2.3333333333333335,136732.05602169037,65280.16371984482,71451.89230184555,136732.05428676607,-0.001734924313495867
event1,29,2.4166666666666665,164882.7736377716,78720.19755430223,86162.5760834694,164882.77467317582,0.0010354042024118826
event1,30,2.5,110592.1042561531,52800.13246803284,57791.971788120274,110592.1030081749,-0.0012479782089940272
event1,31,2.5833333333333335,118635.16616821289,56640.142059421545,61995.02410879135,118635.16395339966,-0.0022148132338770665
event1,32,2.6666666666666665,84452.15231180191,40320.101146507266,44132.05116529465,84452.15149564744,-0.0008161544756148942
event1,33,2.75,44236.841797828674,21120.05307724476,23116.788720583918,44236.84106442929,-0.0007333993889915291
event1,34,2.8333333333333335,40215.31057357788,19200.04816417694,21015.26240940094,40215.31032576561,-0.00024781226966297254
event1,35,2.9166666666666665,24129.186376929283,11520.028939962387,12609.157436966896,24129.186988663674,0.0006117343909863848
event1,36,3.0,30161.48290038109,14400.036053681375,15761.446846699715,30161.482724094392,-0.0001762866977514932
event1,37,3.0833333333333335,20107.65528678894,9600.02408208847,10507.63120470047,20107.655162882806,-0.00012390613483148627
event1,38,3.1666666666666665,22118.420898914337,10560.02653862238,11558.394360291959,22118.420532214644,-0.00036669969449576456
event1,39,3.25,16086.12422645092,7680.019242459536,8406.104983991385,16086.124090385438,-0.00013606548418465536
event1,40,3.3333333333333335,28150.71752667427,13440.033743774891,14710.683782899381,28150.717619132996,9.24587238841923e-05
