event,model,volume_peak_h,mike_volume_peak_h,peak_time_difference_h,volume_rmse_vs_mike_m3,last_hour_volume_slope_m3h,volume_bias_vs_C_mean_m3,volume_error_vs_C_maxabs_m3,volume_error_vs_C_integral_abs_m3h
event1,B,4.416666666666667,2.8333333333333335,1.5833333333333333,340416.1176191825,-18086.462229268844,251246.2771034014,617099.9959212418,1507477.6626204085
event1,C,3.0,2.8333333333333335,0.16666666666666666,156872.57960840175,-96399.87440194123,0.0,0.0,0.0
event1,DrainLite,3.5,2.8333333333333335,0.6666666666666666,188298.29848544716,-62534.538895503,-29528.224668664934,88547.9343951107,186311.51479413756
event20,B,5.166666666666667,4.083333333333333,1.0833333333333333,644072.3545487972,-9801.25242055588,112813.6837465064,354604.33972877776,676882.1024790384
event20,C,4.0,4.083333333333333,-0.08333333333333333,495222.1406713802,-96880.9182374914,0.0,0.0,0.0
event20,DrainLite,4.0,4.083333333333333,-0.08333333333333333,461039.78734585305,-74484.98248049365,-28847.677142284185,85121.45123184449,174420.48065232814
event65,B,6.0,1.0833333333333333,4.916666666666667,596600.361160304,50615.34710817417,270267.30581327155,560485.3182907286,1621603.8348796293
event65,C,5.25,1.0833333333333333,4.166666666666667,319328.62182566064,-56366.04642409821,0.0,0.0,0.0
event65,DrainLite,5.166666666666667,1.0833333333333333,4.083333333333333,309529.7327028922,-67631.25861783544,5137.703835714013,38505.99169970909,98518.77982178055
event66,B,6.0,1.0833333333333333,4.916666666666667,616656.7760013543,56308.536889424555,299112.450954739,618826.1681512038,1794674.705728434
event66,C,5.25,1.0833333333333333,4.166666666666667,324218.3018172328,-61030.08475269133,0.0,0.0,0.0
event66,DrainLite,5.166666666666667,1.0833333333333333,4.083333333333333,305581.44780928444,-91094.73457050753,6664.114835048525,66564.74793108366,159232.95243476963
event67,B,6.0,2.75,3.25,373913.17752543703,28257.362145613293,461265.23658821837,923206.9623993558,2767591.41952931
event67,C,2.75,2.75,0.0,375816.6700015634,-53094.69525489451,0.0,0.0,0.0
event67,DrainLite,2.75,2.75,0.0,356752.56825873867,-41439.890551325756,20994.526063506302,56802.64370036102,144920.31546042033
event68,B,6.0,2.75,3.25,443360.3167875795,25276.908469112877,426383.56690574676,856686.1318184894,2558301.4014344807
event68,C,2.75,2.75,0.0,245934.28138848665,-49308.39275459697,0.0,0.0,0.0
event68,DrainLite,2.75,2.75,0.0,256247.8840741612,-47296.639797252385,-8061.280133433713,26635.608098803554,58839.501167028844
event69,B,6.0,2.75,3.25,433628.1254075166,22091.246880503775,397608.8413244845,795505.9214019927,2385653.047946907
event69,C,2.75,2.75,0.0,207927.21773436083,-47097.415580801775,0.0,0.0,0.0
event69,DrainLite,2.75,2.75,0.0,212398.05641569436,-48608.614513059125,311.6681296685564,26103.338357732166,55278.99417764332
event70,B,6.0,2.75,3.25,425098.43581838947,25927.849185089235,435564.0102752852,869789.0234456991,2613384.0616517114
event70,C,2.75,2.75,0.0,276086.5341237564,-47078.758308088465,0.0,0.0,0.0
event70,DrainLite,2.75,2.75,0.0,279181.73894799757,-48951.05644033392,-1287.5427786911273,16810.790495980764,36147.467888651896
