event,field,time_h,display_abs_bound_m,clipped_pct,min_m,max_m,abs_gt_50mm_pct,abs_gt_100mm_pct,abs_gt_200mm_pct
event1,B,3.0,0.5,0.528774626398931,6.428585766116157e-05,3.19879150390625,24.087674244506147,14.535616477299648,5.031887573796279
event1,C_minus_B,3.0,0.2,0.35820216627024365,-1.5987751483917236,0.15891188383102417,3.7601751210590653,1.5323092668227087,0.35820216627024365
event1,pred_minus_B,3.0,0.2,0.6794469661792716,-1.281444787979126,0.05044245719909668,5.0934831843983055,2.2259706046793712,0.6794469661792716
event1,error,3.0,0.2,0.084338605285851,-0.35164451599121094,0.4464743435382843,1.5076710225818986,0.3534640423777801,0.084338605285851
event20,B,4.0,0.5,0.2151108247178447,0.00021290325094014406,2.6056466102600098,21.452329735517925,9.956693547622884,2.5453201550314137
event20,C_minus_B,4.0,0.2,0.14309134155239892,-1.1150847673416138,0.07438862323760986,1.7862727074587545,0.4842362618097738,0.14309134155239892
event20,pred_minus_B,4.0,0.2,0.17057246012868746,-1.181192398071289,0.030451133847236633,3.1072616486775892,0.8481241767509737,0.17057246012868746
event20,error,4.0,0.2,0.015161996455883328,-0.4152621626853943,0.34396207332611084,0.892662541340131,0.16393908667923848,0.015161996455883328
event65,B,5.25,0.5,0.7685236953575862,2.0751773263327777e-05,3.4067070484161377,23.348526917281834,15.89735328399367,6.473224861883689
event65,C_minus_B,5.25,0.2,1.6564481128052537,-1.750544786453247,0.080777607858181,6.79920778568518,4.008452813024155,1.6564481128052537
event65,pred_minus_B,5.25,0.2,1.7957489552436818,-1.1740772724151611,0.03848540782928467,7.08633809356847,4.47563182882106,1.7957489552436818
event65,error,5.25,0.2,0.00947624778492708,-0.23511876165866852,0.6418855786323547,0.8888720422261601,0.19521070436949786,0.00947624778492708
event66,B,5.25,0.5,0.8159049342822217,2.3660026272409596e-05,3.4788103103637695,24.20897021615321,17.397443308347626,7.630274716423285
event66,C_minus_B,5.25,0.2,1.995697783505643,-1.7951658964157104,0.09008249640464783,7.328930036862603,4.6111421721455175,1.995697783505643
event66,pred_minus_B,5.25,0.2,2.1662702436343304,-1.2970112562179565,0.04011571407318115,7.872866659717419,5.335127502913947,2.1662702436343304
event66,error,5.25,0.2,0.011371497341912496,-0.2513996660709381,0.6717064380645752,0.8291716811811196,0.19426307959100514,0.011371497341912496
event67,B,2.75,0.5,1.1068257412794829,9.28855879465118e-05,3.743831157684326,26.3032209766221,19.143915775109686,8.594009116150369
event67,C_minus_B,2.75,0.2,1.5124091464743619,-1.878380298614502,0.15973486006259918,7.059804599770675,4.021719559923053,1.5124091464743619
event67,pred_minus_B,2.75,0.2,1.3721606792574412,-1.2981373071670532,0.05499058961868286,6.299809527419523,3.7431178750461966,1.3721606792574412
event67,error,2.75,0.2,0.030323992911766656,-0.3270007371902466,0.6303362846374512,0.9589962758346205,0.19331545481251244,0.030323992911766656
event68,B,2.75,0.5,0.9106674121314924,8.870556484907866e-05,3.562718629837036,25.997138173168956,18.611350649596787,8.07660598709335
event68,C_minus_B,2.75,0.2,1.349417684573616,-1.793360948562622,0.16452491283416748,6.741402674197125,3.6568840202033606,1.349417684573616
event68,pred_minus_B,2.75,0.2,1.3797416774853828,-1.0836429595947266,0.054155826568603516,6.267590284950771,3.7033176343495033,1.3797416774853828
event68,error,2.75,0.2,0.020847745126839578,-0.3186982572078705,0.7835773229598999,0.5401461237408436,0.14972471500184786,0.020847745126839578
event69,B,2.75,0.5,0.8462289271939883,8.207270002458245e-05,3.5369489192962646,25.011608403536535,17.207918352649084,7.256910553697159
event69,C_minus_B,2.75,0.2,1.2925601978640537,-1.7843581438064575,0.16504907608032227,6.038265088555535,3.3422725937437816,1.2925601978640537
event69,pred_minus_B,2.75,0.2,1.1504164810901476,-1.342987298965454,0.05481690168380737,5.539814455068371,3.3470107176362442,1.1504164810901476
event69,error,2.75,0.2,0.011371497341912496,-0.3389068841934204,0.44443440437316895,0.5031887573796279,0.07580998227941664,0.011371497341912496
event70,B,2.75,0.5,0.9438342793787371,8.952220377977937e-05,3.611003875732422,26.061576658106457,18.63030314516664,8.170420840164129
event70,C_minus_B,2.75,0.2,1.3901655500488026,-1.8154338598251343,0.1691642701625824,6.837112776824888,3.7563846219450947,1.3901655500488026
event70,pred_minus_B,2.75,0.2,1.4091180456186567,-1.3159208297729492,0.05429753661155701,6.2401091663744825,3.6559363954248676,1.4091180456186567
event70,error,2.75,0.2,0.021795369905332287,-0.31251060962677,0.5006462931632996,0.6472277237105196,0.15541046367280412,0.021795369905332287
