model,reference,n_events,mae_mm,rmse_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,final_volume_abs_error_m3
spatiotemporal_climatology,mike_external,8,20.049479246139526,58.283448696136475,0.5948472413370218,0.3484025365181721,31.881515502929688,924.0712076425552,521.1828689575195,340810.0720068611
clim_dynamic,mike_external,8,21.022681713104248,61.84785175323486,0.6026792852874462,0.3044703763262505,33.50792717933655,900.6599932909012,536.9163055419922,296990.2252539727
clim_all_static,mike_external,8,21.024484753608704,61.83567190170288,0.6015553217247018,0.30556643712336246,33.5564398765564,916.359081864357,544.9228096008301,297702.2041761685
