model,reference,n_events,mae_mm,rmse_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,final_volume_abs_error_m3
clim_all_static,coupled_label,8,2.129863604903221,9.244620680809021,0.930659158364131,0.9072573251823106,3.4510121941566467,9.569376707077026,50.450246810913086,27116.592239748046
clim_dynamic,coupled_label,8,2.18392151594162,9.53687047958374,0.9263592682645201,0.9063797306468334,3.4932104349136353,23.41124415397644,49.303300857543945,29624.390805204865
spatiotemporal_climatology,coupled_label,8,3.2255131900310516,13.621218204498291,0.8978834385559475,0.8667080760209596,5.402990132570267,3.563135862350464,51.98068451881409,129733.2553928032
