fold,test_event,model,dense_inference_seconds,active_cell_steps
0,event1,clim_dynamic,18.766244900005404,7597944
0,event1,clim_all_static,19.831345800193958,7597944
1,event20,clim_dynamic,19.00221109999984,7597944
1,event20,clim_all_static,19.704320199874928,7597944
2,event65,clim_dynamic,18.761352199915564,7597944
2,event65,clim_all_static,19.74016520001169,7597944
3,event66,clim_dynamic,18.702742999841576,7597944
3,event66,clim_all_static,20.039849600114394,7597944
4,event67,clim_dynamic,19.064535000099568,7597944
4,event67,clim_all_static,19.950206100125797,7597944
5,event68,clim_dynamic,19.024224800188676,7597944
5,event68,clim_all_static,19.625461000061478,7597944
6,event69,clim_dynamic,18.50099900002533,7597944
6,event69,clim_all_static,19.41542299988214,7597944
7,event70,clim_dynamic,18.536361199818202,7597944
7,event70,clim_all_static,19.880009399959818,7597944
