event,model,reference,active_cells,n_cell_times,mae_mm,rmse_mm,bias_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_bias_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,target_peak_p99p9_mm,final_volume_bias_m3,final_volume_abs_error_m3,residual_mae_mm
event66,spatiotemporal_climatology,mike_external,105527,7597944,20.72028350830078,56.497745513916016,2.13383150100708,0.565174401307508,0.28422612538688047,28.319604873657227,1324.824571609497,1324.824571609497,467.71343994140625,994.0578937530518,576807.1687228578,576807.1687228578,20.72028350830078
event66,clim_dynamic,coupled_label,105527,7597944,2.3284573554992676,9.039313316345215,0.21857181191444397,0.9322280901207226,0.8989821683947086,3.6756997108459473,-16.151905059814453,16.151905059814453,34.54743957519531,971.0116386413574,-58886.678948784014,58886.678948784014,2.3284573554992676
event66,clim_dynamic,mike_external,105527,7597944,20.3333797454834,56.155181884765625,2.4848077297210693,0.6129284033966191,0.2670397884819378,28.519588470458984,1302.861213684082,1302.861213684082,528.14404296875,994.0578937530518,560776.3269199136,560776.3269199136,20.3333797454834
event66,clim_all_static,coupled_label,105527,7597944,2.232757806777954,8.6602783203125,0.19514375925064087,0.9354775263572577,0.90034251252024,3.513657569885254,-0.3597736358642578,0.3597736358642578,34.18916702270508,971.0116386413574,-60002.684195780894,60002.684195780894,2.232757806777954
event66,clim_all_static,mike_external,105527,7597944,20.334760665893555,56.07305908203125,2.4613797664642334,0.6102517994469638,0.27005026349078093,28.569738388061523,1318.6533451080322,1318.6533451080322,524.8720092773438,994.0578937530518,559660.3216729168,559660.3216729168,20.334760665893555
event67,spatiotemporal_climatology,coupled_label,105527,7597944,4.617123126983643,20.426244735717773,3.5172152519226074,0.9214269314790104,0.811834522246758,9.072845458984375,-4.767179489135742,4.767179489135742,82.18040466308594,1139.8162841796875,256841.21085450612,256841.21085450612,4.617123126983643
event67,spatiotemporal_climatology,mike_external,105527,7597944,24.444438934326172,70.30707550048828,-3.2628142833709717,0.7073276856853085,0.47278937672704946,40.05006790161133,395.7865238189697,395.7865238189697,632.92529296875,1341.1600589752197,144696.55305519747,144696.55305519747,24.444438934326172
event67,clim_dynamic,coupled_label,105527,7597944,2.519817352294922,12.074234962463379,0.4688328504562378,0.9394058080661118,0.925149392942962,5.100281238555908,-41.23330116271973,41.23330116271973,83.42436981201172,1139.8162841796875,43831.46924713696,43831.46924713696,2.519817352294922
event67,clim_dynamic,mike_external,105527,7597944,26.85877799987793,79.04130554199219,-6.311196804046631,0.6847446625383615,0.3726281768056119,43.87433624267578,359.32040214538574,359.32040214538574,644.819091796875,1341.1600589752197,-68313.18855217169,68313.18855217169,26.85877799987793
event67,clim_all_static,coupled_label,105527,7597944,2.494992971420288,11.897904396057129,0.45935800671577454,0.9403472365924531,0.9252280895769975,5.060970306396484,-16.510486602783203,16.510486602783203,84.16389465332031,1139.8162841796875,45550.858619677834,45550.858619677834,2.494992971420288
event67,clim_all_static,mike_external,105527,7597944,26.882129669189453,79.13093566894531,-6.320671558380127,0.6834952723429676,0.37292327648586315,43.95655059814453,384.04321670532227,384.04321670532227,653.6907348632812,1341.1600589752197,-66593.79917963082,66593.79917963082,26.882129669189453
event68,spatiotemporal_climatology,coupled_label,105527,7597944,3.637369394302368,15.21489429473877,2.583423376083374,0.9262993604900962,0.8677670325099496,6.57474946975708,-3.080606460571289,3.080606460571289,49.39063262939453,1125.7414817810059,182266.89348110463,182266.89348110463,3.637369394302368
event68,spatiotemporal_climatology,mike_external,105527,7597944,21.60282325744629,60.51974868774414,-0.99220871925354,0.7087662800954753,0.4255886885912113,34.278568267822266,970.1087474822998,970.1087474822998,493.25738525390625,1185.1462125778198,266532.890478753,266532.890478753,21.60282325744629
event68,clim_dynamic,coupled_label,105527,7597944,2.0060689449310303,9.563939094543457,-0.29824334383010864,0.9492786401579257,0.9336575454887005,2.91800594329834,-21.284818649291992,21.284818649291992,52.87736129760742,1125.7414817810059,36.71922867395915,36.71922867395915,2.0060689449310303
event68,clim_dynamic,mike_external,105527,7597944,23.823270797729492,68.3096923828125,-3.873875379562378,0.6785387127932553,0.35746982291711155,37.88145446777344,951.9045352935791,951.9045352935791,488.9638977050781,1185.1462125778198,84302.71622632234,84302.71622632234,23.823270797729492
event68,clim_all_static,coupled_label,105527,7597944,2.005976438522339,9.357478141784668,-0.2575540542602539,0.9484144538150237,0.9348000184488694,2.9881763458251953,3.600597381591797,3.600597381591797,52.34475326538086,1125.7414817810059,5030.054685577983,5030.054685577983,2.005976438522339
event68,clim_all_static,mike_external,105527,7597944,23.808603286743164,68.3189926147461,-3.833186388015747,0.6769485587429325,0.35849300595757666,37.87078094482422,976.7899513244629,976.7899513244629,512.5942993164062,1185.1462125778198,89296.05168322637,89296.05168322637,23.808603286743164
event69,spatiotemporal_climatology,coupled_label,105527,7597944,2.669278860092163,12.013266563415527,1.8347901105880737,0.9389797302388667,0.8889408177339083,4.9245381355285645,-3.2727718353271484,3.2727718353271484,50.43021774291992,1106.3729524612427,116350.53995186859,116350.53995186859,2.669278860092163
event69,spatiotemporal_climatology,mike_external,105527,7597944,22.2576847076416,64.56138610839844,-0.8855664730072021,0.6548066549888867,0.41135009213866,35.6756706237793,765.1033401489258,765.1033401489258,611.1832275390625,1254.5570135116577,220286.90047919983,220286.90047919983,22.2576847076416
event69,clim_dynamic,coupled_label,105527,7597944,1.9495669603347778,8.773726463317871,0.014772207476198673,0.9432425975495,0.9341690594579453,2.82051682472229,-9.092569351196289,9.092569351196289,42.79026412963867,1106.3729524612427,17866.864491625456,17866.864491625456,1.9495669603347778
event69,clim_dynamic,mike_external,105527,7597944,23.901453018188477,70.55834197998047,-2.7055840492248535,0.6300366075685381,0.350078415790427,38.204551696777344,759.2835426330566,759.2835426330566,610.0205078125,1254.5570135116577,121803.2250189567,121803.2250189567,23.901453018188477
event69,clim_all_static,coupled_label,105527,7597944,1.922047734260559,8.577720642089844,0.04221964627504349,0.9449662652175691,0.9336441027885768,2.8464999198913574,0.37384033203125,0.37384033203125,43.57697296142578,1106.3729524612427,17828.513427447528,17828.513427447528,1.922047734260559
event69,clim_all_static,mike_external,105527,7597944,23.86772346496582,70.5482406616211,-2.6781365871429443,0.6308358926477589,0.3500300895110349,38.143890380859375,768.7499523162842,768.7499523162842,621.2871704101562,1254.5570135116577,121764.87395477877,121764.87395477877,23.86772346496582
event70,spatiotemporal_climatology,coupled_label,105527,7597944,3.778587579727173,16.043636322021484,2.82576584815979,0.9255386846537559,0.8535916546874106,7.005252361297607,-2.881765365600586,2.881765365600586,58.73207092285156,1134.0513229370117,196423.06459446927,196423.06459446927,3.7785873413085938
event70,spatiotemporal_climatology,mike_external,105527,7597944,22.241777420043945,62.81825256347656,-1.5433045625686646,0.7091616560358829,0.4377377675927569,35.61278533935547,843.1801795959473,843.1801795959473,540.5098266601562,1224.5675325393677,236538.99377070717,236538.99377070717,22.241777420043945
event70,clim_dynamic,coupled_label,105527,7597944,1.9715758562088013,9.233867645263672,-0.07351183146238327,0.9491843856902925,0.938071991310102,3.2052998542785645,-33.49900245666504,33.49900245666504,65.82832336425781,1134.0513229370117,10752.862221098505,10752.862221098505,1.9715758562088013
event70,clim_dynamic,mike_external,105527,7597944,24.493789672851562,70.8975830078125,-4.442582607269287,0.6797748173586285,0.3617891303821826,39.2780876159668,812.5629425048828,812.5629425048828,552.479248046875,1224.5675325393677,50868.791397336405,50868.791397336405,24.493789672851562
event70,clim_all_static,coupled_label,105527,7597944,1.9682862758636475,9.031126976013184,-0.07689935714006424,0.9496316863909549,0.9373663661354904,3.1726362705230713,-23.5288143157959,23.5288143157959,64.14060974121094,1134.0513229370117,7331.032155887457,7331.032155887457,1.9682862758636475
event70,clim_all_static,mike_external,105527,7597944,24.51423454284668,70.93962097167969,-4.44597053527832,0.6795136395299436,0.36257491585491913,39.37908935546875,822.533130645752,822.533130645752,565.0728759765625,1224.5675325393677,47446.96133212536,47446.96133212536,24.51423454284668
