event,model,reference,active_cells,n_cell_times,mae_mm,rmse_mm,bias_mm,csi_0p03,csi_0p15,peak_map_mae_mm,global_peak_bias_mm,global_peak_abs_error_mm,top0p1_peak_map_mae_mm,target_peak_p99p9_mm,final_volume_bias_m3,final_volume_abs_error_m3,residual_mae_mm
event1,spatiotemporal_climatology,coupled_label,105527,7597944,2.49819016456604,9.8872709274292,-1.0816141366958618,0.886074684499662,0.8941266949499789,3.1944949626922607,-0.2503395080566406,0.2503395080566406,37.041133880615234,987.0272874832153,-38153.56997288903,38153.56997288903,2.498190402984619
event1,spatiotemporal_climatology,mike_external,105527,7597944,17.8265438079834,57.47618103027344,-1.4086501598358154,0.5817339422159384,0.32510179355274393,33.5762825012207,743.9539432525635,743.9539432525635,610.57421875,1185.8177185058594,92571.58773264056,92571.58773264056,17.8265438079834
event1,clim_dynamic,coupled_label,105527,7597944,2.2949726581573486,9.545058250427246,-0.6374123692512512,0.9090200428072848,0.8815797844591757,3.227695941925049,-15.322446823120117,15.322446823120117,45.106082916259766,987.0272874832153,35365.75977929495,35365.75977929495,2.2949726581573486
event1,clim_dynamic,mike_external,105527,7597944,17.66962432861328,57.463897705078125,-0.9644480347633362,0.6224838689973791,0.3104192318267127,33.398704528808594,728.8818359375,728.8818359375,609.3714599609375,1185.8177185058594,166090.91748482455,166090.91748482455,17.66962432861328
event1,clim_all_static,coupled_label,105527,7597944,2.196784734725952,9.148982048034668,-0.6369200944900513,0.9190963392717321,0.8829693878848771,3.1925768852233887,3.454446792602539,3.454446792602539,50.07625961303711,987.0272874832153,26649.326878735796,26649.326878735796,2.1967852115631104
event1,clim_all_static,mike_external,105527,7597944,17.633447647094727,57.37569046020508,-0.9639557600021362,0.6257416041859205,0.3112185155092482,33.426841735839844,747.6587295532227,747.6587295532227,620.3187866210938,1185.8177185058594,157374.4845842654,157374.4845842654,17.633447647094727
event20,spatiotemporal_climatology,coupled_label,105527,7597944,3.3645923137664795,12.901728630065918,-1.8416961431503296,0.7619607532279942,0.8279411851510805,5.033178806304932,2.856731414794922,2.856731414794922,31.67301368713379,814.2159581184387,-131091.44896636507,131091.44896636507,3.3645923137664795
event20,spatiotemporal_climatology,mike_external,105527,7597944,11.000677108764648,37.31529235839844,8.562845230102539,0.3234423214786647,0.15613559406744718,19.580991744995117,1076.3732194900513,1076.3732194900513,310.857666015625,403.5188853740692,645783.1939739403,645783.1939739403,11.000677108764648
event20,clim_dynamic,coupled_label,105527,7597944,2.1498775482177734,8.938891410827637,-0.6681603789329529,0.8614678891057306,0.8398889375303593,3.5147578716278076,-28.217792510986328,28.217792510986328,24.720691680908203,814.2159581184387,-34345.9986322273,34345.9986322273,2.1498775482177734
event20,clim_dynamic,mike_external,105527,7597944,11.039382934570312,36.318904876708984,9.736379623413086,0.35944460504002285,0.15663170725513598,18.815956115722656,1045.29869556427,1045.29869556427,295.0802917480469,403.5188853740692,742528.6443080781,742528.6443080781,11.039382934570312
event20,clim_all_static,coupled_label,105527,7597944,2.046964645385742,8.411293983459473,-0.6082255244255066,0.8739966060223371,0.84306286729616,3.470773458480835,-23.672819137573242,23.672819137573242,25.236156463623047,814.2159581184387,-26638.384002077393,26638.384002077393,2.046964645385742
event20,clim_all_static,mike_external,105527,7597944,11.126858711242676,36.43053436279297,9.796316146850586,0.3527813244153636,0.15798461225940785,18.972198486328125,1049.843668937683,1049.843668937683,297.2848815917969,403.5188853740692,750236.258938228,750236.258938228,11.126858711242676
event65,spatiotemporal_climatology,coupled_label,105527,7597944,2.7016446590423584,11.461181640625,-0.5592882037162781,0.9020886981049724,0.893264583440252,3.566301107406616,5.584239959716797,5.584239959716797,56.4791374206543,958.4585428237915,-73883.47817538306,73883.47817538306,2.7016446590423584
event65,spatiotemporal_climatology,mike_external,105527,7597944,20.301605224609375,56.771907806396484,2.482931137084961,0.5083649888885098,0.2742908540886281,27.958152770996094,1273.2391357421875,1273.2391357421875,502.44189453125,1043.1150197982788,543263.2878415929,543263.2878415929,20.301605224609375
event65,clim_dynamic,coupled_label,105527,7597944,2.251035451889038,9.125932693481445,0.12129367142915726,0.9270466926185931,0.8995389655907139,3.483426094055176,-22.488117218017578,22.488117218017578,45.131874084472656,958.4585428237915,-35908.77389279776,35908.77389279776,2.251035451889038
event65,clim_dynamic,mike_external,105527,7597944,20.06177520751953,56.037906646728516,3.163512945175171,0.5534826046067652,0.2597067371508845,28.09073829650879,1245.1667785644531,1245.1667785644531,566.451904296875,1043.1150197982788,581237.9921241782,581237.9921241782,20.06177520751953
event65,clim_all_static,coupled_label,105527,7597944,2.171098232269287,8.872180938720703,0.14610923826694489,0.9333431532457206,0.9006452568072743,3.362806797027588,-5.054235458374023,5.054235458374023,49.87416076660156,958.4585428237915,-27901.883952799486,27901.883952799486,2.171098232269287
event65,clim_all_static,mike_external,105527,7597944,20.028120040893555,55.86830139160156,3.1883280277252197,0.552874482485764,0.26125681791806893,28.132429122924805,1262.6006603240967,1262.6006603240967,564.26171875,1043.1150197982788,589244.8820641765,589244.8820641765,20.028120040893555
event66,spatiotemporal_climatology,coupled_label,105527,7597944,2.5373194217681885,11.021522521972656,-0.132404625415802,0.9206986657532227,0.8961981174483388,3.8525607585906982,5.811452865600586,5.811452865600586,49.91886520385742,971.0116386413574,-42855.83714583982,42855.83714583982,2.5373194217681885
